d,n,m,vk,fd,Xlan
d1,n10,0.1,0.03,fd1.0,1e-1
d1,n10,0.1,0.10,fd1.0,1e-5
d1,n10,0.050,0.03,fd1.0,1e-9
d1,n10,0.001,0.10,fd1.0,1e-4
d1,n10,0.1,0.10,fd1.0,1e-9
d1,n10,0.075,0.03,fd1.0,1e-2
d1,n10,0.025,0.10,fd1.0,1e-3
d1,n10,0.050,0.03,fd1.0,1e-4
d1,n10,0.1,0.05,fd1.0,1e-2
d1,n10,0.0025,0.10,fd1.0,1e-2
d1,n10,0.0025,0.10,fd1.0,1e-2
d1,n10,0.0025,0.10,fd1.0,1e-2
d1,n10,0.005,0.03,fd1.0,1e-4
d1,n10,0.0025,0.05,fd1.0,1e-5
d1,n10,0.010,0.10,fd1.0,1e-3
d1,n10,0.005,0.10,fd1.0,1e-4
d1,n10,0.025,0.05,fd1.0,1e-1
d1,n10,0.1,0.05,fd1.0,1e-2
d1,n10,0.020,0.30,fd1.0,1e-9
d1,n10,0.025,0.10,fd1.0,1e-9
