m,vk,Xlan
0.001,0.03,1.00E-01
0.001,0.03,1.00E-02
0.001,0.03,1.00E-03
0.001,0.03,1.00E-04
0.001,0.03,1.00E-05
0.001,0.03,1.00E-09
0.001,0.05,1.00E-01
0.001,0.05,1.00E-02
0.001,0.05,1.00E-03
0.001,0.05,1.00E-04
0.001,0.05,1.00E-05
0.001,0.05,1.00E-09
0.001,0.10,1.00E-01
0.001,0.10,1.00E-02
0.001,0.10,1.00E-03
0.001,0.10,1.00E-04
0.001,0.10,1.00E-05
0.001,0.10,1.00E-09
0.001,0.20,1.00E-01
0.001,0.20,1.00E-02
0.001,0.20,1.00E-03
0.001,0.20,1.00E-04
0.001,0.20,1.00E-05
0.001,0.20,1.00E-09
0.001,0.30,1.00E-01
0.001,0.30,1.00E-02
0.001,0.30,1.00E-03
0.001,0.30,1.00E-04
0.001,0.30,1.00E-05
0.001,0.30,1.00E-09
0.0025,0.03,1.00E-01
0.0025,0.03,1.00E-02
0.0025,0.03,1.00E-03
0.0025,0.03,1.00E-04
0.0025,0.03,1.00E-05
0.0025,0.03,1.00E-09
0.0025,0.05,1.00E-01
0.0025,0.05,1.00E-02
0.0025,0.05,1.00E-03
0.0025,0.05,1.00E-04
0.0025,0.05,1.00E-05
0.0025,0.05,1.00E-09
0.0025,0.10,1.00E-01
0.0025,0.10,1.00E-02
0.0025,0.10,1.00E-03
0.0025,0.10,1.00E-04
0.0025,0.10,1.00E-05
0.0025,0.10,1.00E-09
0.0025,0.20,1.00E-01
0.0025,0.20,1.00E-02
0.0025,0.20,1.00E-03
0.0025,0.20,1.00E-04
0.0025,0.20,1.00E-05
0.0025,0.20,1.00E-09
0.0025,0.30,1.00E-01
0.0025,0.30,1.00E-02
0.0025,0.30,1.00E-03
0.0025,0.30,1.00E-04
0.0025,0.30,1.00E-05
0.0025,0.30,1.00E-09
0.005,0.03,1.00E-01
0.005,0.03,1.00E-02
0.005,0.03,1.00E-03
0.005,0.03,1.00E-04
0.005,0.03,1.00E-05
0.005,0.03,1.00E-09
0.005,0.05,1.00E-01
0.005,0.05,1.00E-02
0.005,0.05,1.00E-03
0.005,0.05,1.00E-04
0.005,0.05,1.00E-05
0.005,0.05,1.00E-09
0.005,0.10,1.00E-01
0.005,0.10,1.00E-02
0.005,0.10,1.00E-03
0.005,0.10,1.00E-04
0.005,0.10,1.00E-05
0.005,0.10,1.00E-09
0.005,0.20,1.00E-01
0.005,0.20,1.00E-02
0.005,0.20,1.00E-03
0.005,0.20,1.00E-04
0.005,0.20,1.00E-05
0.005,0.20,1.00E-09
0.005,0.30,1.00E-01
0.005,0.30,1.00E-02
0.005,0.30,1.00E-03
0.005,0.30,1.00E-04
0.005,0.30,1.00E-05
0.005,0.30,1.00E-09
0.010,0.03,1.00E-01
0.010,0.03,1.00E-02
0.010,0.03,1.00E-03
0.010,0.03,1.00E-04
0.010,0.03,1.00E-05
0.010,0.03,1.00E-09
0.010,0.05,1.00E-01
0.010,0.05,1.00E-02
0.010,0.05,1.00E-03
0.010,0.05,1.00E-04
0.010,0.05,1.00E-05
0.010,0.05,1.00E-09
0.010,0.10,1.00E-01
0.010,0.10,1.00E-02
0.010,0.10,1.00E-03
0.010,0.10,1.00E-04
0.010,0.10,1.00E-05
0.010,0.10,1.00E-09
0.010,0.20,1.00E-01
0.010,0.20,1.00E-02
0.010,0.20,1.00E-03
0.010,0.20,1.00E-04
0.010,0.20,1.00E-05
0.010,0.20,1.00E-09
0.010,0.30,1.00E-01
0.010,0.30,1.00E-02
0.010,0.30,1.00E-03
0.010,0.30,1.00E-04
0.010,0.30,1.00E-05
0.010,0.30,1.00E-09
0.020,0.03,1.00E-01
0.020,0.03,1.00E-02
0.020,0.03,1.00E-03
0.020,0.03,1.00E-04
0.020,0.03,1.00E-05
0.020,0.03,1.00E-09
0.020,0.05,1.00E-01
0.020,0.05,1.00E-02
0.020,0.05,1.00E-03
0.020,0.05,1.00E-04
0.020,0.05,1.00E-05
0.020,0.05,1.00E-09
0.020,0.10,1.00E-01
0.020,0.10,1.00E-02
0.020,0.10,1.00E-03
0.020,0.10,1.00E-04
0.020,0.10,1.00E-05
0.020,0.10,1.00E-09
0.020,0.20,1.00E-01
0.020,0.20,1.00E-02
0.020,0.20,1.00E-03
0.020,0.20,1.00E-04
0.020,0.20,1.00E-05
0.020,0.20,1.00E-09
0.020,0.30,1.00E-01
0.020,0.30,1.00E-02
0.020,0.30,1.00E-03
0.020,0.30,1.00E-04
0.020,0.30,1.00E-05
0.020,0.30,1.00E-09
0.025,0.03,1.00E-01
0.025,0.03,1.00E-02
0.025,0.03,1.00E-03
0.025,0.03,1.00E-04
0.025,0.03,1.00E-05
0.025,0.03,1.00E-09
0.025,0.05,1.00E-01
0.025,0.05,1.00E-02
0.025,0.05,1.00E-03
0.025,0.05,1.00E-04
0.025,0.05,1.00E-05
0.025,0.05,1.00E-09
0.025,0.10,1.00E-01
0.025,0.10,1.00E-02
0.025,0.10,1.00E-03
0.025,0.10,1.00E-04
0.025,0.10,1.00E-05
0.025,0.10,1.00E-09
0.025,0.20,1.00E-01
0.025,0.20,1.00E-02
0.025,0.20,1.00E-03
0.025,0.20,1.00E-04
0.025,0.20,1.00E-05
0.025,0.20,1.00E-09
0.025,0.30,1.00E-01
0.025,0.30,1.00E-02
0.025,0.30,1.00E-03
0.025,0.30,1.00E-04
0.025,0.30,1.00E-05
0.025,0.30,1.00E-09
0.030,0.03,1.00E-01
0.030,0.03,1.00E-02
0.030,0.03,1.00E-03
0.030,0.03,1.00E-04
0.030,0.03,1.00E-05
0.030,0.03,1.00E-09
0.030,0.05,1.00E-01
0.030,0.05,1.00E-02
0.030,0.05,1.00E-03
0.030,0.05,1.00E-04
0.030,0.05,1.00E-05
0.030,0.05,1.00E-09
0.030,0.10,1.00E-01
0.030,0.10,1.00E-02
0.030,0.10,1.00E-03
0.030,0.10,1.00E-04
0.030,0.10,1.00E-05
0.030,0.10,1.00E-09
0.030,0.20,1.00E-01
0.030,0.20,1.00E-02
0.030,0.20,1.00E-03
0.030,0.20,1.00E-04
0.030,0.20,1.00E-05
0.030,0.20,1.00E-09
0.030,0.30,1.00E-01
0.030,0.30,1.00E-02
0.030,0.30,1.00E-03
0.030,0.30,1.00E-04
0.030,0.30,1.00E-05
0.030,0.30,1.00E-09
0.040,0.03,1.00E-01
0.040,0.03,1.00E-02
0.040,0.03,1.00E-03
0.040,0.03,1.00E-04
0.040,0.03,1.00E-05
0.040,0.03,1.00E-09
0.040,0.05,1.00E-01
0.040,0.05,1.00E-02
0.040,0.05,1.00E-03
0.040,0.05,1.00E-04
0.040,0.05,1.00E-05
0.040,0.05,1.00E-09
0.040,0.10,1.00E-01
0.040,0.10,1.00E-02
0.040,0.10,1.00E-03
0.040,0.10,1.00E-04
0.040,0.10,1.00E-05
0.040,0.10,1.00E-09
0.040,0.20,1.00E-01
0.040,0.20,1.00E-02
0.040,0.20,1.00E-03
0.040,0.20,1.00E-04
0.040,0.20,1.00E-05
0.040,0.20,1.00E-09
0.040,0.30,1.00E-01
0.040,0.30,1.00E-02
0.040,0.30,1.00E-03
0.040,0.30,1.00E-04
0.040,0.30,1.00E-05
0.040,0.30,1.00E-09
0.050,0.03,1.00E-01
0.050,0.03,1.00E-02
0.050,0.03,1.00E-03
0.050,0.03,1.00E-04
0.050,0.03,1.00E-05
0.050,0.03,1.00E-09
0.050,0.05,1.00E-01
0.050,0.05,1.00E-02
0.050,0.05,1.00E-03
0.050,0.05,1.00E-04
0.050,0.05,1.00E-05
0.050,0.05,1.00E-09
0.050,0.10,1.00E-01
0.050,0.10,1.00E-02
0.050,0.10,1.00E-03
0.050,0.10,1.00E-04
0.050,0.10,1.00E-05
0.050,0.10,1.00E-09
0.050,0.20,1.00E-01
0.050,0.20,1.00E-02
0.050,0.20,1.00E-03
0.050,0.20,1.00E-04
0.050,0.20,1.00E-05
0.050,0.20,1.00E-09
0.050,0.30,1.00E-01
0.050,0.30,1.00E-02
0.050,0.30,1.00E-03
0.050,0.30,1.00E-04
0.050,0.30,1.00E-05
0.050,0.30,1.00E-09
0.075,0.03,1.00E-01
0.075,0.03,1.00E-02
0.075,0.03,1.00E-03
0.075,0.03,1.00E-04
0.075,0.03,1.00E-05
0.075,0.03,1.00E-09
0.075,0.05,1.00E-01
0.075,0.05,1.00E-02
0.075,0.05,1.00E-03
0.075,0.05,1.00E-04
0.075,0.05,1.00E-05
0.075,0.05,1.00E-09
0.075,0.10,1.00E-01
0.075,0.10,1.00E-02
0.075,0.10,1.00E-03
0.075,0.10,1.00E-04
0.075,0.10,1.00E-05
0.075,0.10,1.00E-09
0.075,0.20,1.00E-01
0.075,0.20,1.00E-02
0.075,0.20,1.00E-03
0.075,0.20,1.00E-04
0.075,0.20,1.00E-05
0.075,0.20,1.00E-09
0.075,0.30,1.00E-01
0.075,0.30,1.00E-02
0.075,0.30,1.00E-03
0.075,0.30,1.00E-04
0.075,0.30,1.00E-05
0.075,0.30,1.00E-09
0.1,0.03,1.00E-01
0.1,0.03,1.00E-02
0.1,0.03,1.00E-03
0.1,0.03,1.00E-04
0.1,0.03,1.00E-05
0.1,0.03,1.00E-09
0.1,0.05,1.00E-01
0.1,0.05,1.00E-02
0.1,0.05,1.00E-03
0.1,0.05,1.00E-04
0.1,0.05,1.00E-05
0.1,0.05,1.00E-09
0.1,0.10,1.00E-01
0.1,0.10,1.00E-02
0.1,0.10,1.00E-03
0.1,0.10,1.00E-04
0.1,0.10,1.00E-05
0.1,0.10,1.00E-09
0.1,0.20,1.00E-01
0.1,0.20,1.00E-02
0.1,0.20,1.00E-03
0.1,0.20,1.00E-04
0.1,0.20,1.00E-05
0.1,0.20,1.00E-09
0.1,0.30,1.00E-02
0.1,0.30,1.00E-03
0.1,0.30,1.00E-04
0.1,0.30,1.00E-05
0.1,0.30,1.00E-09
