u,g,r,i,z,y,time
24.5200,22.1921,22.0814,22.3521,22.6285,22.8509,0.15
24.8338,22.1863,21.8353,22.0596,22.3528,22.6452,0.25
25.1322,22.3540,21.7326,21.8817,22.1541,22.4538,0.35
25.2928,22.5724,21.7152,21.7667,21.9943,22.3219,0.45
25.5017,22.7986,21.7476,21.7308,21.8846,22.2070,0.55
25.6746,23.0354,21.8168,21.7250,21.7994,22.1250,0.65
25.8773,23.2500,21.9436,21.7314,21.7575,22.0480,0.75
25.9921,23.4317,22.0956,21.7529,21.7391,21.9735,0.85
26.1712,23.6101,22.2724,21.7954,21.7290,21.8977,0.95
26.3041,23.7690,22.4564,21.8620,21.7530,21.8765,1.05
26.3912,23.9272,22.6432,21.9495,21.7801,21.8412,1.15
26.5595,24.0804,22.7771,22.0422,21.8086,21.8481,1.25
26.6307,24.2035,22.8858,22.1395,21.8626,21.8603,1.35
26.8089,24.3449,22.9802,22.2314,21.8905,21.8783,1.45
26.8700,24.4623,23.0711,22.3288,21.9501,21.9175,1.55
27.0190,24.5868,23.1496,22.4261,21.9930,21.9502,1.65
27.0884,24.6905,23.2266,22.5096,22.0755,21.9987,1.75
27.2056,24.7738,23.3002,22.5922,22.1238,22.0586,1.85
27.2321,24.8686,23.3788,22.6574,22.2058,22.1038,1.95
27.3212,24.9855,23.4381,22.7287,22.2745,22.1504,2.05
27.4189,25.0413,23.5062,22.7904,22.3334,22.2028,2.15
27.5835,25.1612,23.5745,22.8577,22.4141,22.2621,2.25
27.6080,25.1960,23.6308,22.9028,22.4820,22.3266,2.35
27.6743,25.2852,23.6824,22.9460,22.5201,22.3716,2.45
27.7458,25.3540,23.7427,23.0181,22.6075,22.4244,2.55
27.8939,25.4085,23.8169,23.0793,22.6501,22.4571,2.65
27.9074,25.4687,23.8610,23.1213,22.6991,22.5279,2.75
28.0127,25.5485,23.9163,23.1817,22.7606,22.5900,2.85
28.2198,25.6187,23.9850,23.2316,22.8118,22.6491,2.95
28.1720,25.6719,24.0240,23.2786,22.8580,22.7100,3.05
28.2498,25.7332,24.0735,23.3312,22.9123,22.7418,3.15
28.2851,25.7616,24.1242,23.3790,22.9673,22.8092,3.25
28.3629,25.8024,24.1845,23.4271,23.0191,22.8631,3.35
28.4471,25.8605,24.2419,23.4707,23.0973,22.9128,3.45
28.5781,25.9268,24.2792,23.5154,23.1299,22.9675,3.55
28.6620,25.9697,24.3160,23.5626,23.1642,23.0369,3.65
28.6536,25.9734,24.3644,23.6082,23.2504,23.0877,3.75
28.8341,26.0106,24.4406,23.6467,23.2796,23.1437,3.85
28.7884,26.0946,24.4468,23.6844,23.3210,23.1978,3.95
28.8989,26.1445,24.5116,23.7473,23.3748,23.2498,4.05
28.9565,26.2091,24.5581,23.7812,23.4126,23.3070,4.15
29.0650,26.2544,24.6129,23.8066,23.4609,23.3560,4.25
29.1603,26.2725,24.6607,23.8858,23.5185,23.3889,4.35
29.1409,26.2863,24.6793,23.8994,23.5572,23.4241,4.45
29.0018,26.4003,24.7447,23.9490,23.6077,23.4839,4.55
29.1514,26.3987,24.7919,24.0016,23.6394,23.5311,4.65
29.3734,26.4432,24.8281,24.0472,23.6881,23.5825,4.75
29.5623,26.4627,24.8807,24.0807,23.7250,23.6515,4.85
29.4900,26.5457,24.9209,24.1142,23.7775,23.6626,4.95
29.6676,26.5933,24.9658,24.1565,23.8103,23.7357,5.05
29.4724,26.5796,25.0273,24.2132,23.8438,23.7487,5.15
29.8623,26.6265,25.0317,24.2302,23.8894,23.7984,5.25
29.7692,26.6692,25.0897,24.2833,23.9407,23.8255,5.35
29.7976,26.7452,25.1338,24.3229,23.9652,23.8879,5.45
29.9799,26.7608,25.1627,24.3451,23.9922,23.9069,5.55
29.9512,26.8212,25.1941,24.3925,24.0594,23.9619,5.65
30.0791,26.8435,25.2245,24.4262,24.0776,23.9912,5.75
29.9979,26.9101,25.2640,24.4944,24.1144,24.0537,5.85
30.1972,26.9138,25.3210,24.5208,24.1831,24.0989,5.95
30.2457,26.9737,25.3492,24.5612,24.1687,24.0978,6.05
30.4517,27.0204,25.3690,24.5997,24.2520,24.1772,6.15
30.3697,27.0446,25.4268,24.6096,24.2808,24.1902,6.25
30.7994,27.0760,25.4576,24.6666,24.3041,24.2529,6.35
30.6258,27.1307,25.4984,24.7285,24.3632,24.2673,6.45
30.8603,27.1355,25.5306,24.7600,24.3852,24.3097,6.55
30.5104,27.1633,25.5733,24.7684,24.4224,24.3565,6.65
30.8158,27.2375,25.6030,24.8189,24.4831,24.3923,6.75
30.7890,27.2681,25.6292,24.8501,24.5404,24.4413,6.85
30.8628,27.3035,25.7002,24.8839,24.5380,24.4764,6.95
30.7557,27.3249,25.6899,24.9230,24.5718,24.4885,7.05
31.0472,27.3550,25.7388,24.9362,24.5957,24.5588,7.15
31.0021,27.4029,25.7588,24.9844,24.6507,24.5871,7.25
31.1470,27.3972,25.7826,25.0237,24.6587,24.6209,7.35
31.0641,27.4634,25.8777,25.0554,24.7472,24.6567,7.45
31.2915,27.5078,25.8713,25.0899,24.7296,24.6900,7.55
31.5510,27.5850,25.9047,25.1097,24.8098,24.7322,7.65
31.3229,27.5829,25.9337,25.1571,24.8360,24.7626,7.75
31.6352,27.6718,25.9950,25.2299,24.8769,24.7866,7.85
31.4024,27.6320,26.0106,25.1943,24.8940,24.8436,7.95
31.6520,27.7412,26.0277,25.2971,24.9153,24.8592,8.05
31.8392,27.7204,26.0314,25.3107,24.9688,24.8939,8.15
31.5321,27.8348,26.0686,25.3108,25.0216,24.9142,8.25
