RA DEC 
60.23227697 -36.70295117
59.74513893 -37.09317761
60.21205475 -37.0144655
59.63027883 -36.45208064
59.29826071 -36.93005087
60.11536497 -36.66185066
59.73173083 -36.69061001
59.52820185 -36.67430034
60.1444421 -36.91280813
59.97784597 -36.39096626
59.35057081 -36.71278565
60.01143761 -36.81882811
60.16860726 -36.63977853
60.08396236 -37.19907153
59.20531446 -36.63142346
59.49304801 -36.66767313
59.63444449 -36.77429637
59.88308259 -36.61367589
59.60133619 -36.45658357
59.6491576 -37.26560194
