RA DEC 
60.2152497 -36.540807
59.7627877 -36.693704
60.0973852 -36.189312
60.0978618 -36.299356
60.1814615 -36.47818
60.2150183 -36.362746
60.0542916 -36.551126
59.8940439 -36.534845
59.9279616 -36.69296
59.9163774 -36.708977
59.6085986 -36.19774
59.3208573 -36.225835
59.1565216 -36.665724
59.1883994 -36.503382
59.1991221 -36.476511
59.1884906 -37.294593
59.2901516 -36.870966
59.1654568 -37.123637
59.4056987 -37.041954
59.7769979 -36.955509
59.97309 -36.90008
60.0579733 -36.88942
59.9813956 -36.940844
59.9825997 -37.148245
60.1371778 -37.182102
