ra dec mag
62.02918 -36.702508 50
59.74366 -37.09373 21.9845
62.01019 -37.014077 22.7169
59.62645 -36.452969 29.0516
59.29621 -36.931608 21.8061
60.11244 -36.661472 26.4057
59.72886 -36.691183 26.0809
59.52538 -36.675291 22.9458
60.14224 -36.912459 25.7238
59.97392 -36.390988 32.7108
59.34717 -36.714403 32.7108
60.00896 -36.818898 32.7108
60.16564 -36.639492 24.8888
60.08289 -37.199036 26.5653
59.20223 -36.633155 26.9303
59.49006 -36.668774 26.7944
59.63175 -36.775083 30.3675
59.87996 -36.61389 25.7238
59.59755 -36.457536 24.0883
59.64816 -37.266464 23.8295
