ra,dec,u,g,r,i,time 
60.2294718,-36.7025173,-9999.0,-9999.0,35.9303,33.4505,0.05
59.7436692,-37.0938305,23.4272,23.4079,23.6408,24.0049,0.05
60.2103246,-37.0140844,24.5841,24.8208,25.1102,25.5765,0.05
59.6265962,-36.452971,26.8533,25.7804,25.6322,25.9155,0.05
59.2962075,-36.9316874,23.6046,23.6795,23.9487,24.3079,0.05
60.1124159,-36.6616741,27.1766,26.7803,26.8948,26.7241,0.05
59.7288694,-36.6912823,26.8418,25.8435,25.2891,25.246,0.05
59.5252768,-36.6754221,25.9823,25.956,26.1201,26.4984,0.05
60.1423586,-36.9125739,26.4353,26.0312,26.0436,26.0461,0.05
59.973966,-36.3910866,29.8549,28.742,27.3415,27.0119,0.05
59.3477705,-36.7143011,29.812,28.7038,27.3011,26.977,0.05
60.0090263,-36.8188854,29.8134,28.7051,27.3024,26.9782,0.05
60.1655836,-36.6394837,24.2296,24.0676,24.3314,24.6823,0.05
60.0828708,-37.1989783,25.8927,25.7101,25.9593,26.3821,0.05
59.2022277,-36.633258,28.1263,26.938,26.0418,25.8836,0.05
59.4900987,-36.6688725,25.8892,25.0145,24.9719,25.2237,0.05
59.6318676,-36.7751859,29.5195,28.9376,28.4802,28.298,0.05
59.8799618,-36.6140116,26.9483,26.4939,26.5522,26.4396,0.05
59.5976678,-36.4575381,21.8157,21.0198,21.3641,21.8371,0.05
59.6482848,-37.2664713,24.1577,24.1026,24.3274,24.7653,0.05
