,cosmodc2_hp,cosmodc2_id,dec,flux_g,flux_g_noMW,flux_i,flux_i_noMW,flux_r,flux_r_noMW,flux_u,flux_u_noMW,flux_y,flux_y_noMW,flux_z,flux_z_noMW,host_galaxy,id,id_truth_type,is_pointsource,is_variable,mag_r,ra_x,redshift,truth_type,HPX_2_17,ra_y,decl,diaObjectid,rPSFluxMax
0,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3726134,-37.0649354,1650331768919689263,-764.8523171
1,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3723451,-37.0651578,1650331768919689280,
2,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3727466,-37.065108,1650331768919688281,
3,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3727466,-37.065108,1650815554035909867,
4,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3723451,-37.0651578,1650815554035911127,
5,-1,-1,-37.0650099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875119162,MS_9813_208,MS_9813_208_3,1,1,,59.3726506,0.31284,3,144760942985,59.3726134,-37.0649354,1650815554035911105,-764.8523171
6,-1,-1,-37.1337344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875245041,MS_9813_504,MS_9813_504_3,1,1,,59.0408336,0.421423,3,144766411178,59.0408227,-37.1337967,1650340565012715547,718.1381664
7,-1,-1,-37.1699641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875301666,MS_9813_582,MS_9813_582_3,1,1,,59.0956731,0.444202,3,144760808700,59.095686,-37.1699742,1650340565012710377,5352.1463355
8,-1,-1,-37.1699641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875301666,MS_9813_582,MS_9813_582_3,1,1,,59.0956731,0.444202,3,144760808700,59.095686,-37.1699742,1567560533580710520,5352.1463355
9,-1,-1,-37.1260662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49517,hl_ms_49517,hl_ms_49517_3,1,1,,59.3669169,1.09049,3,144760733627,59.3666323,-37.1261024,1650331768919691436,
10,-1,-1,-37.1260662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49517,hl_ms_49517,hl_ms_49517_3,1,1,,59.3669169,1.09049,3,144760733627,59.3666323,-37.1261024,1650815554035913738,
11,-1,-1,-37.1699774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876318968,MS_9813_2599,MS_9813_2599_3,1,1,,59.2504303,0.813214,3,144760744352,59.2503789,-37.1700078,1650331768919690070,
12,-1,-1,-37.1699774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876318968,MS_9813_2599,MS_9813_2599_3,1,1,,59.2504303,0.813214,3,144760744352,59.2503789,-37.1700078,1567560533580712327,
13,-1,-1,-37.1156221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875438065,MS_9813_935,MS_9813_935_3,1,1,,59.058022,0.52309,3,144766415022,59.0580266,-37.1156288,1650340565012711708,3119.0866033
14,-1,-1,-37.0638564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875520361,MS_9813_994,MS_9813_994_3,1,1,,59.0438588,0.556777,3,144766442904,59.0438669,-37.0638597,1650340565012715749,1992.8643768
15,-1,-1,-37.2631278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875042643,MS_9813_86,MS_9813_86_3,1,1,,59.2059166,0.239435,3,144760674728,59.2059587,-37.2630484,1567560533580712929,-746.4710487
16,-1,-1,-37.2631278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875042643,MS_9813_86,MS_9813_86_3,1,1,,59.2059166,0.239435,3,144760674728,59.2059226,-37.2631302,1567560533580710310,7831.4142683
17,-1,-1,-37.2890894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875192998,MS_9813_408,MS_9813_408_3,1,1,,59.245313,0.382759,3,144760649238,59.2453295,-37.2891006,1567560533580713284,3426.6055251
18,-1,-1,-37.1939678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875874417,MS_9813_1796,MS_9813_1796_3,1,1,,59.0578805,0.687535,3,144758012213,59.0579043,-37.1939721,1650340565012712397,944.3119749
19,-1,-1,-37.1939678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875874417,MS_9813_1796,MS_9813_1796_3,1,1,,59.0578805,0.687535,3,144758012213,59.0579043,-37.1939721,1567560533580711624,944.3119749
20,-1,-1,-37.289952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875636100,MS_9813_1245,MS_9813_1245_3,1,1,,59.0603308,0.604353,3,144757961655,59.0603615,-37.289961,1567560533580711269,1555.7286537
21,-1,-1,-37.1928515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876006703,MS_9813_1865,MS_9813_1865_3,1,1,,59.3370253,0.715635,3,144760714495,59.3370245,-37.1928552,1650331768919689889,754.2567491
22,-1,-1,-37.1928515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876006703,MS_9813_1865,MS_9813_1865_3,1,1,,59.3370253,0.715635,3,144760714495,59.3370245,-37.1928552,1650815554035911855,754.2567491
23,-1,-1,-37.1928515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7876006703,MS_9813_1865,MS_9813_1865_3,1,1,,59.3370253,0.715635,3,144760714495,59.3370245,-37.1928552,1567551737487691394,754.2567491
24,-1,-1,-37.360236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875742021,MS_9813_1352,MS_9813_1352_3,1,1,,59.5112473,0.636478,3,144760203490,59.5112625,-37.3602056,1567551737487690485,1745.9889783
25,-1,-1,-37.2386343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875756734,MS_9813_1346,MS_9813_1346_3,1,1,,59.339834,0.631171,3,144760702384,59.339945,-37.2386646,1567551737487688530,1970.6089732
