ra,dec,u,g,r,i,z,y,time
60.2294718,-36.7025173,-9999.0,34.3683,30.2284,28.1915,26.8803,26.1071,6.85
59.7436692,-37.0938305,29.3059,25.7312,23.5221,22.5581,22.5382,22.0285,6.85
60.2103246,-37.0140844,28.7173,25.4548,23.5661,22.6684,22.6215,22.6181,6.85
59.6265962,-36.452971,38.0802,33.0619,30.0085,29.3083,29.0765,28.7928,6.85
59.2962075,-36.9316874,29.3349,25.6866,23.417,22.6091,23.0352,22.9131,6.85
60.1124159,-36.6616741,32.8434,29.6802,27.481,25.7891,24.8246,24.4151,6.85
59.7288694,-36.6912823,-9999.0,32.5384,29.2125,27.0603,26.1804,25.2148,6.85
59.5252768,-36.6754221,29.8663,26.7867,25.7073,23.9206,23.5669,23.4736,6.85
60.1423586,-36.9125739,35.8983,30.1141,27.5706,25.458,24.7647,23.6928,6.85
59.973966,-36.3910866,-9999.0,37.6428,32.8908,30.9278,29.5748,29.1282,6.85
59.3477705,-36.7143011,-9999.0,37.5461,32.8363,30.8828,29.5303,29.0928,6.85
60.0090263,-36.8188854,-9999.0,37.5491,32.8381,30.8843,29.5318,29.0939,6.85
60.1655836,-36.6394837,34.3015,30.0298,27.1986,25.5557,24.9547,24.6359,6.85
60.0828708,-37.1989783,35.184,30.8161,28.7082,27.7924,28.2039,27.6631,6.85
59.2022277,-36.633258,-9999.0,34.4185,31.0281,28.8708,27.8284,27.0265,6.85
59.4900987,-36.6688725,36.9925,31.5603,28.7168,27.4581,26.8798,26.5302,6.85
59.6318676,-36.7751859,-9999.0,39.4242,35.1952,31.9024,30.1151,28.5799,6.85
59.8799618,-36.6140116,36.2748,30.7245,28.2452,26.1609,25.3294,24.3365,6.85
59.5976678,-36.4575381,26.6392,25.3409,24.5909,24.9782,26.0192,27.5009,6.85
59.6482848,-37.2664713,31.0161,27.0624,24.9133,24.3448,26.5444,26.5693,6.85
