          MJD                 Band      Mag       e_mag
          57983.003059        i       17.274       0.005
          57983.003741        z       17.419       0.007
          57983.973954        Y       17.267       0.008
          57983.974627        z       17.437       0.005
          57983.975324        i       17.597       0.004
          57983.976015        r       17.637       0.004
          57983.976688        g       18.181       0.006
          57983.977375        u       19.019       0.038
          57984.974650        Y       17.711       0.014
          57984.976389        i       18.206       0.010
          57984.977079        r       18.590       0.011
          57984.977768        g       19.836       0.025
          57984.978804        u       21.185       0.237
          57985.974995        Y       18.019       0.017
          57985.976029        z       18.418       0.015
          57985.976691        i       18.683       0.014
          57985.977380        r       19.263       0.020
          57985.978069        g       20.790       0.036
          57985.980480        u       22.003       0.402
          57986.975242        Y       18.311       0.013
          57986.980076        i       19.042       0.007
          57986.982491        r       19.872       0.010
          57986.987296        g       21.470       0.036
          57987.974538        Y       18.643       0.139
          57987.976954        z       19.038       0.083
          57987.979363        i       19.399       0.170
          57987.981776        r       20.126       0.159
          57987.986601        g       22.049       0.827
          57988.982969        r       20.385       0.338
          57989.969723        Y       19.457       0.027
          57989.979392        z       19.824       0.030
          57989.981810        i       20.390       0.030
          57989.984225        r       21.617       0.062
          57989.991454        g       22.885       0.145
          57990.005913        u       22.202       0.766
          57990.967129        Y       20.084       0.049
          57990.981615        z       20.394       0.045
          57990.991279        r       21.931       0.123
          57991.967972        Y       20.743       0.076
          57991.982785        z       21.058       0.048
          57991.992425        i       21.618       0.058
          57992.968656        Y       21.459       0.112
          57992.983157        z       21.584       0.074
          57993.968337        Y       22.226       0.330
          57993.982794        z       22.687       0.274
          57993.992450        i       22.404       0.145
          57994.989637        z       21.862       0.180
          57995.991085        z       25.237       2.649
