LAMBDA,u,g,r,i,z,Y,atm
3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641032613706
3001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00695998675169
3002.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0075096794505703
3003.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0080594042030703
3004.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0086091609785906
3005.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0091589497465606
3006.0000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0097087704764406
3007.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0102586231378009
3008.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0108085077001009
3009.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0113584241330012
3010.0000000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0119083724060012
3011.0000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0124583524890012
3012.0000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0130083643515015
3013.0000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0135584079634015
3014.000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0141084832943018
3015.0000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0146585903142018
3016.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0152087289928018
3017.0000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0157588993002021
3018.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0163091012061021
3019.0000000000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0168593346806025
3020.0000000000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0174095996937033
3021.0000000000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0181431604626033
3022.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0188767633094037
3023.0000000000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0196104081942037
3024.0000000000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0203440950770041
3025.0000000000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0210778239182062
3026.000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0221781761010062
3027.0000000000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0232785912940068
3028.0000000000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0243790694375068
3029.0000000000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0254796104718075
3030.000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0265802143375075
3031.0000000000073,0.0,0.0,0.0,0.0,0.0,0.0,0.0276808809750075
3032.0000000000073,0.0,0.0,0.0,0.0,0.0,0.0,0.0287816103249081
3033.0000000000073,0.0,0.0,0.0,0.0,0.0,0.0,0.0298824023279081
3034.0000000000077,0.0,0.0,0.0,0.0,0.0,0.0,0.0309832569248087
