LAMBDA,mag,u,g,r,i,z,Y,atm
3000,0,0,0,0,0,0,0,0.006410326
3001,0,0,0,0,0,0,0,0.006959987
3002,0,0,0,0,0,0,0,0.007509679
3003,0,0,0,0,0,0,0,0.008059404
3004,0,0,0,0,0,0,0,0.008609161
3005,0,0,0,0,0,0,0,0.00915895
3006,0,0,0,0,0,0,0,0.00970877
3007,0,0,0,0,0,0,0,0.010258623
3008,0,0,0,0,0,0,0,0.010808508
3009,0,0,0,0,0,0,0,0.011358424
3010,0,0,0,0,0,0,0,0.011908372
3011,0,0,0,0,0,0,0,0.012458352
3012,0,0,0,0,0,0,0,0.013008364
3013,0,0,0,0,0,0,0,0.013558408
3014,0,0,0,0,0,0,0,0.014108483
3015,0,0,0,0,0,0,0,0.01465859
3016,0,0,0,0,0,0,0,0.015208729
3017,0,0,0,0,0,0,0,0.015758899
3018,0,0,0,0,0,0,0,0.016309101
3019,0,0,0,0,0,0,0,0.016859335
3020,0,0,0,0,0,0,0,0.0174096
3021,0,0,0,0,0,0,0,0.01814316
3022,0,0,0,0,0,0,0,0.018876763
3023,0,0,0,0,0,0,0,0.019610408
3024,0,0,0,0,0,0,0,0.020344095
3025,0,0,0,0,0,0,0,0.021077824
3026,0,0,0,0,0,0,0,0.022178176
3027,0,0,0,0,0,0,0,0.023278591
3028,0,0,0,0,0,0,0,0.024379069
3029,0,0,0,0,0,0,0,0.02547961
3030,0,0,0,0,0,0,0,0.026580214
3031,0,0,0,0,0,0,0,0.027680881
3032,0,0,0,0,0,0,0,0.02878161
3033,0,0,0,0,0,0,0,0.029882402
3034,0,0,0,0,0,0,0,0.030983257
3035,0,0,0,0,0,0,0,0.032084174
3036,0,0,0,0,0,0,0,0.032818467
3037,0,0,0,0,0,0,0,0.033552801
3038,0,0,0,0,0,0,0,0.034287177
3039,0,0,0,0,0,0,0,0.035021594
3040,0,0,0,0,0,0,0,0.035756052
3041,0,0,0,0,0,0,0,0.03704066
3042,0,0,0,0,0,0,0,0.038325341
3043,0,0,0,0,0,0,0,0.039610095
3044,0,0,0,0,0,0,0,0.040894921
3045,0,0,0,0,0,0,0,0.042179819
3046,0,0,0,0,0,0,0,0.043831581
3047,0,0,0,0,0,0,0,0.045483437
3048,0,0,0,0,0,0,0,0.047135385
3049,0,0,0,0,0,0,0,0.048787427
3050,0,0,0,0,0,0,0,0.050439561
3051,0,0,0,0,0,0,0,0.052091788
3052,0,0,0,0,0,0,0,0.053744108
3053,0,0,0,0,0,0,0,0.05539652
3054,0,0,0,0,0,0,0,0.057049025
3055,0,0,0,0,0,0,0,0.058701623
3056,0,0,0,0,0,0,0,0.059803969
3057,0,0,0,0,0,0,0,0.060906377
3058,0,0,0,0,0,0,0,0.062008846
3059,0,0,0,0,0,0,0,0.063111376
3060,0,0,0,0,0,0,0,0.064213966
3061,0,0,0,0,0,0,0,0.065500092
3062,0,0,0,0,0,0,0,0.066786288
3063,0,0,0,0,0,0,0,0.068072556
3064,0,0,0,0,0,0,0,0.069358895
3065,0,0,0,0,0,0,0,0.070645305
3066,0,0,0,0,0,0,0,0.072849283
3067,0,0,0,0,0,0,0,0.075053384
3068,0,0,0,0,0,0,0,0.077257607
3069,0,0,0,0,0,0,0,0.079461952
3070,0,0,0,0,0,0,0,0.081666419
3071,0,0,0,0,0,0,0,0.084054533
3072,0,0,0,0,0,0,0,0.086442779
3073,0,0,0,0,0,0,0,0.088831157
3074,0,0,0,0,0,0,0,0.091219667
3075,0,0,0,0,0,0,0,0.093608309
3076,0,0,0,0,0,0,0,0.095079329
3077,0,0,0,0,0,0,0,0.096550428
3078,0,0,0,0,0,0,0,0.098021608
3079,0,0,0,0,0,0,0,0.099492868
3080,0,0,0,0,0,0,0,0.100964208
3081,0,0,0,0,0,0,0,0.102252052
3082,0,0,0,0,0,0,0,0.103539965
3083,0,0,0,0,0,0,0,0.104827948
3084,0,0,0,0,0,0,0,0.106116001
3085,0,0,0,0,0,0,0,0.107404123
3086,0,0,0,0,0,0,0,0.10924312
3087,0,0,0,0,0,0,0,0.111082217
3088,0,0,0,0,0,0,0,0.112921414
3089,0,0,0,0,0,0,0,0.114760711
3090,0,0,0,0,0,0,0,0.116600107
3091,0,0,0,0,0,0,0,0.11935774
3092,0,0,0,0,0,0,0,0.122115522
3093,0,0,0,0,0,0,0,0.124873455
3094,0,0,0,0,0,0,0,0.127631537
3095,0,0,0,0,0,0,0,0.130389769
3096,0,0,0,0,0,0,0,0.132780846
3097,0,0,0,0,0,0,0,0.135172051
3098,0,0,0,0,0,0,0,0.137563386
3099,0,0,0,0,0,0,0,0.13995485
3100,0,0,0,0,0,0,0,0.142346443
3101,0,0,0,0,0,0,0,0.144003453
3102,0,0,0,0,0,0,0,0.145660552
3103,0,0,0,0,0,0,0,0.147317738
3104,0,0,0,0,0,0,0,0.148975013
3105,0,0,0,0,0,0,0,0.150632376
3106,0,0,0,0,0,0,0,0.152106124
3107,0,0,0,0,0,0,0,0.15357995
3108,0,0,0,0,0,0,0,0.155053853
3109,0,0,0,0,0,0,0,0.156527835
3110,0,0,0,0,0,0,0,0.158001893
3111,0,0,0,0,0,0,0,0.159843486
3112,0,0,0,0,0,0,0,0.161685177
3113,0,0,0,0,0,0,0,0.163526964
3114,0,0,0,0,0,0,0,0.16536885
3115,0,0,0,0,0,0,0,0.167210832
3116,0,0,0,0,0,0,0,0.169971677
3117,0,0,0,0,0,0,0,0.17273267
3118,0,0,0,0,0,0,0,0.175493809
3119,0,0,0,0,0,0,0,0.178255096
3120,0,0,0,0,0,0,0,0.181016528
3121,0,0,0,0,0,0,0,0.183961886
3122,0,0,0,0,0,0,0,0.1869074
3123,0,0,0,0,0,0,0,0.18985307
3124,0,0,0,0,0,0,0,0.192798896
3125,0,0,0,0,0,0,0,0.195744877
3126,0,0,0,0,0,0,0,0.197404394
3127,0,0,0,0,0,0,0,0.199063997
3128,0,0,0,0,0,0,0,0.200723686
3129,0,0,0,0,0,0,0,0.202383461
3130,0,0,0,0,0,0,0,0.204043322
3131,0,0,0,0,0,0,0,0.20478413
3132,0,0,0,0,0,0,0,0.205524974
3133,0,0,0,0,0,0,0,0.206265854
3134,0,0,0,0,0,0,0,0.20700677
3135,0,0,0,0,0,0,0,0.207747723
3136,0,0,0,0,0,0,0,0.209959531
3137,0,0,0,0,0,0,0,0.212171455
3138,0,0,0,0,0,0,0,0.214383493
3139,0,0,0,0,0,0,0,0.216595646
3140,0,0,0,0,0,0,0,0.218807914
3141,0,0,0,0,0,0,0,0.222307436
3142,0,0,0,0,0,0,0,0.225807142
3143,0,0,0,0,0,0,0,0.229307031
3144,0,0,0,0,0,0,0,0.232807103
3145,0,0,0,0,0,0,0,0.236307357
3146,0,0,0,0,0,0,0,0.238152679
3147,0,0,0,0,0,0,0,0.239998096
3148,0,0,0,0,0,0,0,0.241843606
3149,0,0,0,0,0,0,0,0.243689211
3150,0,0,0,0,0,0,0,0.245534909
3151,0,0,0,0,0,0,0,0.246093219
3152,0,0,0,0,0,0,0,0.246651553
3153,0,0,0,0,0,0,0,0.247209913
3154,0,0,0,0,0,0,0,0.247768299
3155,0,0,0,0,0,0,0,0.248326709
3156,0,0,0,0,0,0,0,0.250172799
3157,0,0,0,0,0,0,0,0.252018983
3158,0,0,0,0,0,0,0,0.25386526
3159,0,0,0,0,0,0,0,0.25571163
3160,0,0,0,0,0,0,0,0.257558093
3161,0,0,0,0,0,0,0,0.260692474
3162,0,0,0,0,0,0,0,0.263827016
3163,0,0,0,0,0,0,0,0.26696172
3164,0,0,0,0,0,0,0,0.270096583
3165,0,0,0,0,0,0,0,0.273231608
3166,0,0,0,0,0,0,0,0.2747108
3167,0,0,0,0,0,0,0,0.276190066
3168,0,0,0,0,0,0,0,0.277669404
3169,0,0,0,0,0,0,0,0.279148816
3170,0,0,0,0,0,0,0,0.2806283
3171,0,0,0,0,0,0,0,0.281003718
3172,0,0,0,0,0,0,0,0.281379149
3173,0,0,0,0,0,0,0,0.281754596
3174,0,0,0,0,0,0,0,0.282130058
3175,0,0,0,0,0,0,0,0.282505534
3176,0,0,0,0,0,0,0,0.284353406
3177,0,0,0,0,0,0,0,0.286201369
3178,0,0,0,0,0,0,0,0.288049424
3179,0,0,0,0,0,0,0,0.289897571
3180,0,0,0,0,0,0,0,0.291745809
