u,g,r,i,z,y,time
24.6808,22.3097,22.1806,22.4463,22.7223,22.9442,0.15
24.9864,22.3119,21.9346,22.1542,22.4458,22.7324,0.25
25.2828,22.4848,21.8349,21.9777,22.2450,22.5466,0.35
25.4397,22.7070,21.8199,21.8669,22.0857,22.4111,0.45
25.6462,22.9371,21.8549,21.8339,21.9757,22.2959,0.55
25.8147,23.1767,21.9280,21.8290,21.8924,22.2114,0.65
26.0194,23.3914,22.0584,21.8368,21.8528,22.1363,0.75
26.1295,23.5718,22.2150,21.8597,21.8373,22.0622,0.85
26.3070,23.7492,22.3945,21.9034,21.8306,21.9871,0.95
26.4402,23.9078,22.5780,21.9739,21.8567,21.9694,1.05
26.5270,24.0657,22.7637,22.0659,21.8855,21.9342,1.15
26.6979,24.2199,22.8962,22.1626,21.9152,21.9426,1.25
26.7626,24.3439,23.0045,22.2602,21.9702,21.9562,1.35
26.9458,24.4849,23.0998,22.3549,21.9983,21.9763,1.45
27.0066,24.6027,23.1910,22.4524,22.0590,22.0171,1.55
27.1577,24.7279,23.2713,22.5498,22.1024,22.0515,1.65
27.2275,24.8324,23.3467,22.6347,22.1845,22.1031,1.75
27.3441,24.9161,23.4216,22.7161,22.2343,22.1617,1.85
27.3650,25.0107,23.5005,22.7804,22.3183,22.2071,1.95
27.4565,25.1291,23.5610,22.8484,22.3893,22.2546,2.05
27.5618,25.1834,23.6304,22.9115,22.4479,22.3079,2.15
27.7219,25.3045,23.6977,22.9803,22.5298,22.3663,2.25
27.7471,25.3389,23.7548,23.0231,22.5963,22.4330,2.35
27.8232,25.4283,23.8070,23.0678,22.6326,22.4771,2.45
27.8952,25.4967,23.8669,23.1390,22.7234,22.5304,2.55
28.0433,25.5520,23.9405,23.1994,22.7657,22.5641,2.65
28.0554,25.6134,23.9839,23.2418,22.8142,22.6330,2.75
28.1591,25.6901,24.0413,23.3017,22.8740,22.6973,2.85
28.3634,25.7622,24.1109,23.3524,22.9258,22.7550,2.95
28.3116,25.8144,24.1518,23.3973,22.9718,22.8177,3.05
28.3985,25.8769,24.1999,23.4508,23.0281,22.8486,3.15
28.4410,25.9057,24.2489,23.4998,23.0818,22.9164,3.25
28.5121,25.9442,24.3112,23.5455,23.1344,22.9691,3.35
28.6005,26.0028,24.3684,23.5882,23.2124,23.0182,3.45
28.7281,26.0689,24.4062,23.6357,23.2433,23.0724,3.55
28.8196,26.1105,24.4434,23.6815,23.2764,23.1446,3.65
28.8013,26.1146,24.4931,23.7276,23.3635,23.1933,3.75
28.9949,26.1503,24.5673,23.7663,23.3917,23.2482,3.85
28.9418,26.2366,24.5752,23.8026,23.4341,23.3033,3.95
29.0563,26.2865,24.6384,23.8639,23.4886,23.3511,4.05
29.1057,26.3500,24.6861,23.8990,23.5258,23.4091,4.15
29.2352,26.3933,24.7410,23.9258,23.5734,23.4579,4.25
29.3091,26.4128,24.7879,24.0050,23.6299,23.4937,4.35
29.3101,26.4286,24.8078,24.0163,23.6687,23.5284,4.45
29.1591,26.5435,24.8715,24.0685,23.7203,23.5841,4.55
29.3099,26.5400,24.9184,24.1223,23.7511,23.6347,4.65
29.5394,26.5885,24.9546,24.1656,23.8013,23.6875,4.75
29.7297,26.6032,25.0090,24.2015,23.8336,23.7570,4.85
29.6526,26.6865,25.0498,24.2318,23.8892,23.7669,4.95
29.8296,26.7339,25.0956,24.2716,23.9238,23.8370,5.05
29.6238,26.7224,25.1546,24.3330,23.9563,23.8505,5.15
30.0359,26.7664,25.1599,24.3503,24.0015,23.8997,5.25
29.9452,26.8116,25.2161,24.4005,24.0541,23.9291,5.35
29.9648,26.8878,25.2614,24.4408,24.0765,23.9893,5.45
30.1485,26.9061,25.2915,24.4646,24.1052,24.0059,5.55
30.0914,26.9624,25.3211,24.5110,24.1708,24.0650,5.65
30.2685,26.9890,25.3490,24.5470,24.1911,24.0930,5.75
30.1621,27.0534,25.3895,24.6177,24.2238,24.1548,5.85
30.3695,27.0548,25.4490,24.6375,24.2976,24.1961,5.95
30.4100,27.1145,25.4778,24.6793,24.2824,24.1962,6.05
30.6184,27.1659,25.4959,24.7204,24.3601,24.2776,6.15
30.5202,27.1890,25.5538,24.7314,24.3900,24.2912,6.25
30.9653,27.2201,25.5851,24.7851,24.4143,24.3524,6.35
30.7964,27.2756,25.6235,24.8460,24.4758,24.3680,6.45
31.0488,27.2786,25.6582,24.8771,24.4964,24.4112,6.55
30.6576,27.3080,25.7029,24.8839,24.5307,24.4590,6.65
30.9978,27.3829,25.7299,24.9369,24.5957,24.4928,6.75
30.9691,27.4130,25.7560,24.9688,24.6509,24.5421,6.85
31.0370,27.4471,25.8267,25.0014,24.6494,24.5770,6.95
30.9228,27.4719,25.8166,25.0446,24.6822,24.5904,7.05
31.2169,27.4999,25.8664,25.0579,24.7041,24.6570,7.15
31.1727,27.5500,25.8857,25.1027,24.7622,24.6822,7.25
31.3121,27.5404,25.9107,25.1405,24.7710,24.7180,7.35
31.2422,27.6088,26.0018,25.1759,24.8577,24.7551,7.45
31.4635,27.6506,25.9989,25.2079,24.8392,24.7870,7.55
31.7411,27.7339,26.0314,25.2272,24.9187,24.8326,7.65
31.5256,27.7307,26.0596,25.2750,24.9514,24.8584,7.75
31.8137,27.8174,26.1190,25.3491,24.9886,24.8864,7.85
31.5929,27.7780,26.1374,25.3136,25.0008,24.9419,7.95
31.8143,27.8909,26.1540,25.4165,25.0270,24.9574,8.05
32.0365,27.8699,26.1567,25.4260,25.0836,24.9935,8.15
31.6977,27.9856,26.1946,25.4286,25.1343,25.0140,8.25
31.8459,28.0536,26.2382,25.4904,25.1559,25.0510,8.35
31.7885,28.0500,26.3268,25.5198,25.1572,25.0751,8.45
32.4142,28.0729,26.3073,25.5523,25.2093,25.1339,8.55
32.0910,28.0950,26.3670,25.5992,25.2426,25.1785,8.65
32.4460,28.0953,26.3634,25.6305,25.2766,25.1277,8.75
32.3353,28.1837,26.4234,25.6569,25.3014,25.2528,8.85
32.2242,28.2174,26.4905,25.7355,25.4059,25.3351,8.95
33.0425,28.6913,26.9158,26.2140,26.0449,26.0635,9.05
33.8043,29.3757,27.5874,26.9542,26.7904,26.9503,9.15
35.7155,30.1988,28.2393,27.9139,27.8670,28.1157,9.25
34.2821,31.1985,29.2700,29.1570,29.1858,29.5370,9.35
36.9421,32.2276,30.2523,30.3834,30.2578,30.3727,9.45
36.4398,33.7745,31.3352,31.5110,31.0903,31.9560,9.55
38.2873,34.2153,32.4129,31.9551,32.0607,31.8282,9.65
-9999.0000,34.5874,33.1632,32.5198,33.5888,33.1413,9.75
37.7105,34.9917,33.5916,33.5563,34.5529,34.3240,9.85
-9999.0000,36.7740,35.8082,33.9435,34.5154,34.7459,9.95
-9999.0000,36.0479,34.9147,34.7296,36.7118,44.2984,10.05
-9999.0000,35.9766,34.5103,41.0752,35.0228,-9999.0000,10.15
-9999.0000,36.3673,34.8907,34.7068,-9999.0000,-9999.0000,10.25
-9999.0000,36.1075,35.4546,-9999.0000,-9999.0000,-9999.0000,10.35
-9999.0000,36.6368,35.9770,35.6072,36.7005,-9999.0000,10.45
-9999.0000,36.0889,35.2194,38.9575,35.3703,-9999.0000,10.55
-9999.0000,36.3266,35.3213,34.5901,-9999.0000,-9999.0000,10.65
-9999.0000,-9999.0000,-9999.0000,-9999.0000,35.4216,-9999.0000,10.75
-9999.0000,-9999.0000,35.7519,-9999.0000,-9999.0000,-9999.0000,10.85
-9999.0000,-9999.0000,35.1776,38.3355,-9999.0000,-9999.0000,10.95
-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,11.05
-9999.0000,-9999.0000,-9999.0000,36.1346,35.4581,35.2523,11.15
-9999.0000,-9999.0000,35.7987,-9999.0000,35.5901,-9999.0000,11.25
-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,11.35
-9999.0000,38.1113,37.3754,-9999.0000,-9999.0000,-9999.0000,11.45
-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,11.55
-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,11.65
-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,11.75
-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,11.85
-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,11.95
