u,g,r,i,z,y,time
26.2959,25.3679,24.4752,24.1923,24.1497,23.7884,0.05
26.3607,25.3631,24.2541,23.6020,23.5948,22.9919,0.15
26.6108,25.3735,24.1568,23.3497,23.1958,22.6738,0.25
27.0079,25.4723,24.1826,23.2760,23.0063,22.4223,0.35
27.2055,25.6352,24.1756,23.1992,22.8358,22.2734,0.45
27.5338,25.7178,24.2177,23.1880,22.7537,22.2093,0.55
28.0105,26.1331,24.4660,23.2965,22.7769,22.2432,0.65
28.5455,26.4258,24.5145,23.2995,22.7258,22.2188,0.75
29.0510,26.6165,24.6239,23.3167,22.7876,22.2682,0.85
29.5473,26.8934,24.7993,23.4278,22.8799,22.2838,0.95
30.0677,27.1376,24.9675,23.5682,22.9731,22.3643,1.05
30.4364,27.5282,25.1590,23.7017,23.0565,22.4185,1.15
30.8251,27.7271,25.2688,23.7883,23.1550,22.4269,1.25
30.9582,27.8972,25.4835,23.8822,23.1612,22.4629,1.35
31.8589,28.3691,25.7363,24.1732,23.4201,22.6154,1.45
31.8653,28.5438,25.8967,24.2112,23.4560,22.6130,1.55
32.3761,28.6620,26.0213,24.2792,23.4557,22.6102,1.65
33.0454,29.1736,26.3278,24.6313,23.7173,22.7796,1.75
33.2205,29.1894,26.2972,24.5020,23.6055,22.6605,1.85
32.4243,29.6524,26.6258,24.8552,23.9047,22.9161,1.95
33.5763,29.8353,26.6871,24.7984,23.7896,22.7575,2.05
33.7767,30.1090,27.1333,25.1906,24.0626,23.0200,2.15
-9999.0000,30.6836,26.9739,25.0718,23.9719,22.9247,2.25
-9999.0000,30.6524,27.3274,25.4206,24.1934,23.0860,2.35
36.1759,31.4093,27.5419,25.4584,24.2429,23.1803,2.45
38.3192,31.5258,27.5808,25.5501,24.3306,23.1189,2.55
-9999.0000,31.7848,28.1857,25.8253,24.5758,23.3722,2.65
-9999.0000,32.2798,28.0334,25.7711,24.5308,23.3259,2.75
-9999.0000,32.4768,28.4455,26.0911,24.7057,23.4139,2.85
-9999.0000,32.9214,28.4586,26.2778,24.8505,23.6269,2.95
-9999.0000,32.3744,28.6143,26.2156,24.7735,23.5836,3.05
-9999.0000,34.3907,29.1228,26.5009,24.9935,23.6651,3.15
-9999.0000,33.6472,29.1151,26.7148,25.1738,23.8740,3.25
-9999.0000,33.7057,28.9564,26.6811,25.0927,23.8156,3.35
-9999.0000,34.1592,29.3794,26.8227,25.2117,23.8623,3.45
-9999.0000,33.0433,29.5028,26.9688,25.4136,24.1120,3.55
-9999.0000,-9999.0000,29.9281,27.0393,25.4554,24.0828,3.65
-9999.0000,34.0135,29.4444,27.0135,25.4508,24.0304,3.75
-9999.0000,34.6926,30.1061,27.2798,25.5560,24.1435,3.85
-9999.0000,33.8344,30.1741,27.3878,25.6586,24.3141,3.95
-9999.0000,34.2850,29.6002,27.3292,25.6026,24.2941,4.05
-9999.0000,33.8066,29.7609,27.1746,25.5111,24.2386,4.15
-9999.0000,33.3742,30.2653,27.3865,25.7444,24.3450,4.25
-9999.0000,33.6017,29.7684,27.4242,25.7129,24.4618,4.35
-9999.0000,33.6708,29.7244,27.3656,25.7493,24.3692,4.45
-9999.0000,33.3065,29.9462,27.2199,25.7132,24.3746,4.55
