u,g,r,i,z,y,time
29.8120,28.7038,27.3011,26.9770,26.5966,26.3136,0.05
29.9511,28.6664,27.0508,26.4443,25.9697,25.6274,0.15
30.3835,28.9695,27.1822,26.3475,25.7076,25.2667,0.25
30.9669,29.3157,27.4920,26.4155,25.6206,25.0756,0.35
31.5311,29.8104,27.8111,26.6186,25.6867,25.0316,0.45
32.3313,30.3420,28.1197,26.8646,25.9013,25.0779,0.55
32.8212,30.9639,28.4675,27.0647,26.1077,25.1999,0.65
33.8154,31.5101,28.7195,27.2708,26.2965,25.3547,0.75
34.0907,31.8146,28.9989,27.4438,26.4596,25.5278,0.85
34.9465,32.1647,29.2090,27.6001,26.5941,25.6807,0.95
35.5738,32.6501,29.5257,27.7826,26.7295,25.8004,1.05
36.2656,33.1706,29.7956,27.9932,26.9074,25.9254,1.15
36.5244,33.2755,30.0354,28.1651,27.0505,26.0265,1.25
45.4399,33.5194,30.2225,28.3596,27.2038,26.1569,1.35
39.0237,33.8355,30.5382,28.5792,27.3660,26.2900,1.45
37.3418,34.6126,30.6425,28.7097,27.4970,26.3689,1.55
38.4738,34.9452,30.8350,28.8218,27.6133,26.5144,1.65
36.5464,34.7445,31.0336,28.9994,27.7678,26.5643,1.75
37.5633,35.3294,31.2034,29.1312,27.8321,26.6748,1.85
-9999.0000,35.3576,31.3812,29.2326,28.0188,26.7497,1.95
-9999.0000,35.2337,31.5038,29.2970,28.0335,26.8231,2.05
-9999.0000,36.2621,31.7828,29.3831,28.1438,26.8872,2.15
-9999.0000,35.2750,31.9194,29.4741,28.1523,26.9824,2.25
-9999.0000,36.0177,31.9777,29.5844,28.2574,27.0591,2.35
-9999.0000,36.0282,32.0659,29.6590,28.3945,27.1615,2.45
-9999.0000,36.2477,32.1615,29.7542,28.4767,27.1857,2.55
-9999.0000,35.9337,32.2313,29.8905,28.5710,27.3034,2.65
-9999.0000,35.9118,32.2604,29.8657,28.5986,27.3806,2.75
-9999.0000,35.9372,32.4394,29.9597,28.6628,27.4615,2.85
-9999.0000,35.8506,32.5035,29.9955,28.8221,27.4975,2.95
-9999.0000,36.2937,32.5532,30.0905,28.8115,27.5656,3.05
-9999.0000,36.3471,32.6019,30.1598,28.9129,27.6869,3.15
39.2115,36.2156,32.7128,30.2301,29.0041,27.7524,3.25
-9999.0000,36.2820,32.5221,30.2228,29.0163,27.7826,3.35
-9999.0000,36.8655,32.7176,30.2975,29.1731,27.9143,3.45
-9999.0000,37.6360,32.8915,30.4413,29.1305,27.9615,3.55
-9999.0000,36.8652,32.8175,30.4090,29.2403,28.0715,3.65
-9999.0000,35.8063,32.7231,30.4184,29.2071,28.0958,3.75
-9999.0000,39.5617,32.6923,30.3581,29.2809,28.2009,3.85
-9999.0000,36.4623,32.8452,30.4356,29.2968,28.3077,3.95
-9999.0000,36.9872,32.5767,30.5941,29.4096,28.3189,4.05
-9999.0000,36.8414,32.8340,30.6249,29.3736,28.3478,4.15
-9999.0000,36.8879,32.8394,30.5917,29.3784,28.4632,4.25
-9999.0000,37.1488,32.7064,30.5970,29.3824,28.5055,4.35
-9999.0000,36.2152,32.6927,30.5694,29.4448,28.5654,4.45
-9999.0000,36.7838,32.4835,30.6314,29.4392,28.5632,4.55
-9999.0000,36.7206,32.8151,30.5510,29.4387,28.6031,4.65
-9999.0000,36.4903,32.7923,30.5682,29.4844,28.6611,4.75
-9999.0000,36.7153,32.7662,30.6975,29.4517,28.7436,4.85
-9999.0000,36.7745,32.8718,30.6628,29.4070,28.7484,4.95
-9999.0000,37.2604,32.9851,30.7477,29.4921,28.8029,5.05
-9999.0000,36.4835,32.7283,30.6380,29.4674,28.8364,5.15
-9999.0000,37.6388,32.8406,30.6477,29.3730,28.8558,5.25
-9999.0000,36.7560,32.8923,30.5914,29.3935,28.9278,5.35
-9999.0000,36.4798,32.7600,30.6211,29.4483,28.8335,5.45
-9999.0000,37.4912,32.7656,30.6560,29.3897,28.9187,5.55
-9999.0000,36.9312,32.8321,30.7529,29.4592,28.9076,5.65
-9999.0000,36.2681,32.9183,30.6412,29.4097,28.9308,5.75
-9999.0000,36.2790,32.6594,30.7411,29.4771,28.9362,5.85
-9999.0000,36.0594,32.8029,30.7397,29.4366,28.9090,5.95
-9999.0000,37.0582,32.6980,30.7950,29.4769,28.9962,6.05
-9999.0000,37.4070,32.7440,30.7370,29.4083,28.9696,6.15
-9999.0000,36.7608,32.8866,30.7669,29.4511,28.9746,6.25
-9999.0000,36.5049,32.8008,30.7870,29.4835,28.9595,6.35
-9999.0000,37.0310,32.7332,30.7844,29.5041,29.0397,6.45
-9999.0000,36.8577,32.7553,30.7717,29.5750,29.0290,6.55
-9999.0000,36.6282,32.6518,30.8078,29.5029,29.0655,6.65
-9999.0000,37.4432,32.8228,30.8726,29.5285,29.0906,6.75
-9999.0000,37.5461,32.8363,30.8828,29.5303,29.0928,6.85
-9999.0000,36.1957,32.7576,30.8619,29.5148,29.0940,6.95
-9999.0000,36.8764,32.8521,30.8562,29.5825,29.1151,7.05
-9999.0000,35.9090,32.7871,30.8563,29.6127,29.1017,7.15
-9999.0000,36.5042,32.8024,30.9358,29.5722,29.1540,7.25
-9999.0000,36.9104,32.7283,30.8955,29.5724,29.1668,7.35
-9999.0000,38.1112,32.7444,30.9417,29.6367,29.1591,7.45
-9999.0000,36.7348,32.9447,30.9959,29.6662,29.2362,7.55
-9999.0000,36.9865,32.7875,31.0134,29.7152,29.2406,7.65
-9999.0000,36.8369,32.9049,31.0375,29.6733,29.2133,7.75
-9999.0000,37.3929,33.0082,31.0940,29.6940,29.2336,7.85
-9999.0000,36.3324,32.8327,31.0811,29.7270,29.2691,7.95
-9999.0000,37.3536,32.9889,31.1484,29.8415,29.3527,8.05
-9999.0000,36.4308,33.0343,31.1473,29.7873,29.3316,8.15
-9999.0000,36.9474,32.7600,31.1738,29.7883,29.3847,8.25
-9999.0000,36.8051,32.9073,31.1124,29.7660,29.4184,8.35
-9999.0000,36.5200,32.8539,31.1114,29.8320,29.3872,8.45
-9999.0000,36.9311,32.9145,31.1167,29.9842,29.4215,8.55
-9999.0000,36.8005,32.8504,31.2864,29.8573,29.4553,8.65
-9999.0000,37.1092,32.8357,31.2273,29.9072,29.4724,8.75
-9999.0000,37.2591,32.7222,31.2929,29.9933,29.5099,8.85
-9999.0000,37.0375,32.9213,31.1966,29.9938,29.5659,8.95
