K,name,m,vk,Xlan
21.4246,knova_d1_n10_m0.001_vk0.03_fd1.0_Xlan1e-1.0.h5,0.001,0.03,1e-1.0
21.3889,knova_d1_n10_m0.001_vk0.03_fd1.0_Xlan1e-2.0.h5,0.001,0.03,1e-2.0
21.7821,knova_d1_n10_m0.001_vk0.03_fd1.0_Xlan1e-3.0.h5,0.001,0.03,1e-3.0
22.2867,knova_d1_n10_m0.001_vk0.03_fd1.0_Xlan1e-4.0.h5,0.001,0.03,1e-4.0
22.8527,knova_d1_n10_m0.001_vk0.03_fd1.0_Xlan1e-5.0.h5,0.001,0.03,1e-5.0
22.8956,knova_d1_n10_m0.001_vk0.03_fd1.0_Xlan1e-9.0.h5,0.001,0.03,1e-9.0
21.3027,knova_d1_n10_m0.001_vk0.05_fd1.0_Xlan1e-1.0.h5,0.001,0.05,1e-1.0
21.1231,knova_d1_n10_m0.001_vk0.05_fd1.0_Xlan1e-2.0.h5,0.001,0.05,1e-2.0
21.4375,knova_d1_n10_m0.001_vk0.05_fd1.0_Xlan1e-3.0.h5,0.001,0.05,1e-3.0
22.0611,knova_d1_n10_m0.001_vk0.05_fd1.0_Xlan1e-4.0.h5,0.001,0.05,1e-4.0
22.473,knova_d1_n10_m0.001_vk0.05_fd1.0_Xlan1e-5.0.h5,0.001,0.05,1e-5.0
22.5739,knova_d1_n10_m0.001_vk0.05_fd1.0_Xlan1e-9.0.h5,0.001,0.05,1e-9.0
20.8093,knova_d1_n10_m0.001_vk0.10_fd1.0_Xlan1e-1.0.h5,0.001,0.1,1e-1.0
20.6689,knova_d1_n10_m0.001_vk0.10_fd1.0_Xlan1e-2.0.h5,0.001,0.1,1e-2.0
20.9432,knova_d1_n10_m0.001_vk0.10_fd1.0_Xlan1e-3.0.h5,0.001,0.1,1e-3.0
21.9512,knova_d1_n10_m0.001_vk0.10_fd1.0_Xlan1e-4.0.h5,0.001,0.1,1e-4.0
22.3675,knova_d1_n10_m0.001_vk0.10_fd1.0_Xlan1e-5.0.h5,0.001,0.1,1e-5.0
22.4016,knova_d1_n10_m0.001_vk0.10_fd1.0_Xlan1e-9.0.h5,0.001,0.1,1e-9.0
20.3062,knova_d1_n10_m0.001_vk0.20_fd1.0_Xlan1e-1.0.h5,0.001,0.2,1e-1.0
20.2827,knova_d1_n10_m0.001_vk0.20_fd1.0_Xlan1e-2.0.h5,0.001,0.2,1e-2.0
20.705,knova_d1_n10_m0.001_vk0.20_fd1.0_Xlan1e-3.0.h5,0.001,0.2,1e-3.0
22.194,knova_d1_n10_m0.001_vk0.20_fd1.0_Xlan1e-4.0.h5,0.001,0.2,1e-4.0
22.7298,knova_d1_n10_m0.001_vk0.20_fd1.0_Xlan1e-5.0.h5,0.001,0.2,1e-5.0
22.8037,knova_d1_n10_m0.001_vk0.20_fd1.0_Xlan1e-9.0.h5,0.001,0.2,1e-9.0
19.9877,knova_d1_n10_m0.001_vk0.30_fd1.0_Xlan1e-1.0.h5,0.001,0.3,1e-1.0
20.0659,knova_d1_n10_m0.001_vk0.30_fd1.0_Xlan1e-2.0.h5,0.001,0.3,1e-2.0
20.6624,knova_d1_n10_m0.001_vk0.30_fd1.0_Xlan1e-3.0.h5,0.001,0.3,1e-3.0
22.3413,knova_d1_n10_m0.001_vk0.30_fd1.0_Xlan1e-4.0.h5,0.001,0.3,1e-4.0
22.832,knova_d1_n10_m0.001_vk0.30_fd1.0_Xlan1e-5.0.h5,0.001,0.3,1e-5.0
22.8413,knova_d1_n10_m0.001_vk0.30_fd1.0_Xlan1e-9.0.h5,0.001,0.3,1e-9.0
20.8481,knova_d1_n10_m0.0025_vk0.03_fd1.0_Xlan1e-1.0.h5,0.0025,0.03,1e-1.0
20.6982,knova_d1_n10_m0.0025_vk0.03_fd1.0_Xlan1e-2.0.h5,0.0025,0.03,1e-2.0
21.1252,knova_d1_n10_m0.0025_vk0.03_fd1.0_Xlan1e-3.0.h5,0.0025,0.03,1e-3.0
21.5781,knova_d1_n10_m0.0025_vk0.03_fd1.0_Xlan1e-4.0.h5,0.0025,0.03,1e-4.0
22.0902,knova_d1_n10_m0.0025_vk0.03_fd1.0_Xlan1e-5.0.h5,0.0025,0.03,1e-5.0
22.0482,knova_d1_n10_m0.0025_vk0.03_fd1.0_Xlan1e-9.0.h5,0.0025,0.03,1e-9.0
20.7544,knova_d1_n10_m0.0025_vk0.05_fd1.0_Xlan1e-1.0.h5,0.0025,0.05,1e-1.0
20.4662,knova_d1_n10_m0.0025_vk0.05_fd1.0_Xlan1e-2.0.h5,0.0025,0.05,1e-2.0
20.7609,knova_d1_n10_m0.0025_vk0.05_fd1.0_Xlan1e-3.0.h5,0.0025,0.05,1e-3.0
21.2694,knova_d1_n10_m0.0025_vk0.05_fd1.0_Xlan1e-4.0.h5,0.0025,0.05,1e-4.0
21.7295,knova_d1_n10_m0.0025_vk0.05_fd1.0_Xlan1e-5.0.h5,0.0025,0.05,1e-5.0
21.8179,knova_d1_n10_m0.0025_vk0.05_fd1.0_Xlan1e-9.0.h5,0.0025,0.05,1e-9.0
20.2218,knova_d1_n10_m0.0025_vk0.10_fd1.0_Xlan1e-1.0.h5,0.0025,0.1,1e-1.0
19.9743,knova_d1_n10_m0.0025_vk0.10_fd1.0_Xlan1e-2.0.h5,0.0025,0.1,1e-2.0
20.2557,knova_d1_n10_m0.0025_vk0.10_fd1.0_Xlan1e-3.0.h5,0.0025,0.1,1e-3.0
21.0591,knova_d1_n10_m0.0025_vk0.10_fd1.0_Xlan1e-4.0.h5,0.0025,0.1,1e-4.0
21.4812,knova_d1_n10_m0.0025_vk0.10_fd1.0_Xlan1e-5.0.h5,0.0025,0.1,1e-5.0
21.5062,knova_d1_n10_m0.0025_vk0.10_fd1.0_Xlan1e-9.0.h5,0.0025,0.1,1e-9.0
19.714,knova_d1_n10_m0.0025_vk0.20_fd1.0_Xlan1e-1.0.h5,0.0025,0.2,1e-1.0
19.6225,knova_d1_n10_m0.0025_vk0.20_fd1.0_Xlan1e-2.0.h5,0.0025,0.2,1e-2.0
19.9529,knova_d1_n10_m0.0025_vk0.20_fd1.0_Xlan1e-3.0.h5,0.0025,0.2,1e-3.0
21.2359,knova_d1_n10_m0.0025_vk0.20_fd1.0_Xlan1e-4.0.h5,0.0025,0.2,1e-4.0
21.7952,knova_d1_n10_m0.0025_vk0.20_fd1.0_Xlan1e-5.0.h5,0.0025,0.2,1e-5.0
21.8925,knova_d1_n10_m0.0025_vk0.20_fd1.0_Xlan1e-9.0.h5,0.0025,0.2,1e-9.0
19.3709,knova_d1_n10_m0.0025_vk0.30_fd1.0_Xlan1e-1.0.h5,0.0025,0.3,1e-1.0
19.3963,knova_d1_n10_m0.0025_vk0.30_fd1.0_Xlan1e-2.0.h5,0.0025,0.3,1e-2.0
19.8889,knova_d1_n10_m0.0025_vk0.30_fd1.0_Xlan1e-3.0.h5,0.0025,0.3,1e-3.0
21.383,knova_d1_n10_m0.0025_vk0.30_fd1.0_Xlan1e-4.0.h5,0.0025,0.3,1e-4.0
21.7902,knova_d1_n10_m0.0025_vk0.30_fd1.0_Xlan1e-5.0.h5,0.0025,0.3,1e-5.0
21.8671,knova_d1_n10_m0.0025_vk0.30_fd1.0_Xlan1e-9.0.h5,0.0025,0.3,1e-9.0
20.358,knova_d1_n10_m0.005_vk0.03_fd1.0_Xlan1e-1.0.h5,0.005,0.03,1e-1.0
20.1511,knova_d1_n10_m0.005_vk0.03_fd1.0_Xlan1e-2.0.h5,0.005,0.03,1e-2.0
20.6165,knova_d1_n10_m0.005_vk0.03_fd1.0_Xlan1e-3.0.h5,0.005,0.03,1e-3.0
20.9799,knova_d1_n10_m0.005_vk0.03_fd1.0_Xlan1e-4.0.h5,0.005,0.03,1e-4.0
21.4829,knova_d1_n10_m0.005_vk0.03_fd1.0_Xlan1e-5.0.h5,0.005,0.03,1e-5.0
21.4174,knova_d1_n10_m0.005_vk0.03_fd1.0_Xlan1e-9.0.h5,0.005,0.03,1e-9.0
20.2532,knova_d1_n10_m0.005_vk0.05_fd1.0_Xlan1e-1.0.h5,0.005,0.05,1e-1.0
19.9389,knova_d1_n10_m0.005_vk0.05_fd1.0_Xlan1e-2.0.h5,0.005,0.05,1e-2.0
20.2279,knova_d1_n10_m0.005_vk0.05_fd1.0_Xlan1e-3.0.h5,0.005,0.05,1e-3.0
20.665,knova_d1_n10_m0.005_vk0.05_fd1.0_Xlan1e-4.0.h5,0.005,0.05,1e-4.0
21.1485,knova_d1_n10_m0.005_vk0.05_fd1.0_Xlan1e-5.0.h5,0.005,0.05,1e-5.0
21.2193,knova_d1_n10_m0.005_vk0.05_fd1.0_Xlan1e-9.0.h5,0.005,0.05,1e-9.0
19.7159,knova_d1_n10_m0.005_vk0.10_fd1.0_Xlan1e-1.0.h5,0.005,0.1,1e-1.0
19.4322,knova_d1_n10_m0.005_vk0.10_fd1.0_Xlan1e-2.0.h5,0.005,0.1,1e-2.0
19.7066,knova_d1_n10_m0.005_vk0.10_fd1.0_Xlan1e-3.0.h5,0.005,0.1,1e-3.0
20.3963,knova_d1_n10_m0.005_vk0.10_fd1.0_Xlan1e-4.0.h5,0.005,0.1,1e-4.0
20.8436,knova_d1_n10_m0.005_vk0.10_fd1.0_Xlan1e-5.0.h5,0.005,0.1,1e-5.0
20.8683,knova_d1_n10_m0.005_vk0.10_fd1.0_Xlan1e-9.0.h5,0.005,0.1,1e-9.0
19.2124,knova_d1_n10_m0.005_vk0.20_fd1.0_Xlan1e-1.0.h5,0.005,0.2,1e-1.0
19.0828,knova_d1_n10_m0.005_vk0.20_fd1.0_Xlan1e-2.0.h5,0.005,0.2,1e-2.0
19.3716,knova_d1_n10_m0.005_vk0.20_fd1.0_Xlan1e-3.0.h5,0.005,0.2,1e-3.0
20.5314,knova_d1_n10_m0.005_vk0.20_fd1.0_Xlan1e-4.0.h5,0.005,0.2,1e-4.0
21.0933,knova_d1_n10_m0.005_vk0.20_fd1.0_Xlan1e-5.0.h5,0.005,0.2,1e-5.0
21.1502,knova_d1_n10_m0.005_vk0.20_fd1.0_Xlan1e-9.0.h5,0.005,0.2,1e-9.0
18.8654,knova_d1_n10_m0.005_vk0.30_fd1.0_Xlan1e-1.0.h5,0.005,0.3,1e-1.0
18.8775,knova_d1_n10_m0.005_vk0.30_fd1.0_Xlan1e-2.0.h5,0.005,0.3,1e-2.0
19.2892,knova_d1_n10_m0.005_vk0.30_fd1.0_Xlan1e-3.0.h5,0.005,0.3,1e-3.0
20.6571,knova_d1_n10_m0.005_vk0.30_fd1.0_Xlan1e-4.0.h5,0.005,0.3,1e-4.0
21.0928,knova_d1_n10_m0.005_vk0.30_fd1.0_Xlan1e-5.0.h5,0.005,0.3,1e-5.0
21.1758,knova_d1_n10_m0.005_vk0.30_fd1.0_Xlan1e-9.0.h5,0.005,0.3,1e-9.0
19.6768,knova_d1_n10_m0.010_vk0.03_fd1.0_Xlan1e-1.0.h5,0.01,0.03,1e-1.0
19.4643,knova_d1_n10_m0.010_vk0.03_fd1.0_Xlan1e-2.0.h5,0.01,0.03,1e-2.0
19.9749,knova_d1_n10_m0.010_vk0.03_fd1.0_Xlan1e-3.0.h5,0.01,0.03,1e-3.0
20.3774,knova_d1_n10_m0.010_vk0.03_fd1.0_Xlan1e-4.0.h5,0.01,0.03,1e-4.0
20.7769,knova_d1_n10_m0.010_vk0.03_fd1.0_Xlan1e-5.0.h5,0.01,0.03,1e-5.0
20.8304,knova_d1_n10_m0.010_vk0.03_fd1.0_Xlan1e-9.0.h5,0.01,0.03,1e-9.0
19.5994,knova_d1_n10_m0.010_vk0.05_fd1.0_Xlan1e-1.0.h5,0.01,0.05,1e-1.0
19.2485,knova_d1_n10_m0.010_vk0.05_fd1.0_Xlan1e-2.0.h5,0.01,0.05,1e-2.0
19.591,knova_d1_n10_m0.010_vk0.05_fd1.0_Xlan1e-3.0.h5,0.01,0.05,1e-3.0
20.0117,knova_d1_n10_m0.010_vk0.05_fd1.0_Xlan1e-4.0.h5,0.01,0.05,1e-4.0
20.4819,knova_d1_n10_m0.010_vk0.05_fd1.0_Xlan1e-5.0.h5,0.01,0.05,1e-5.0
20.5432,knova_d1_n10_m0.010_vk0.05_fd1.0_Xlan1e-9.0.h5,0.01,0.05,1e-9.0
19.0817,knova_d1_n10_m0.010_vk0.10_fd1.0_Xlan1e-1.0.h5,0.01,0.1,1e-1.0
18.7713,knova_d1_n10_m0.010_vk0.10_fd1.0_Xlan1e-2.0.h5,0.01,0.1,1e-2.0
19.0268,knova_d1_n10_m0.010_vk0.10_fd1.0_Xlan1e-3.0.h5,0.01,0.1,1e-3.0
19.6925,knova_d1_n10_m0.010_vk0.10_fd1.0_Xlan1e-4.0.h5,0.01,0.1,1e-4.0
20.1389,knova_d1_n10_m0.010_vk0.10_fd1.0_Xlan1e-5.0.h5,0.01,0.1,1e-5.0
20.2143,knova_d1_n10_m0.010_vk0.10_fd1.0_Xlan1e-9.0.h5,0.01,0.1,1e-9.0
18.5231,knova_d1_n10_m0.010_vk0.20_fd1.0_Xlan1e-1.0.h5,0.01,0.2,1e-1.0
18.3812,knova_d1_n10_m0.010_vk0.20_fd1.0_Xlan1e-2.0.h5,0.01,0.2,1e-2.0
18.6685,knova_d1_n10_m0.010_vk0.20_fd1.0_Xlan1e-3.0.h5,0.01,0.2,1e-3.0
19.8112,knova_d1_n10_m0.010_vk0.20_fd1.0_Xlan1e-4.0.h5,0.01,0.2,1e-4.0
20.4092,knova_d1_n10_m0.010_vk0.20_fd1.0_Xlan1e-5.0.h5,0.01,0.2,1e-5.0
20.4632,knova_d1_n10_m0.010_vk0.20_fd1.0_Xlan1e-9.0.h5,0.01,0.2,1e-9.0
18.1575,knova_d1_n10_m0.010_vk0.30_fd1.0_Xlan1e-1.0.h5,0.01,0.3,1e-1.0
18.1705,knova_d1_n10_m0.010_vk0.30_fd1.0_Xlan1e-2.0.h5,0.01,0.3,1e-2.0
18.5843,knova_d1_n10_m0.010_vk0.30_fd1.0_Xlan1e-3.0.h5,0.01,0.3,1e-3.0
19.96,knova_d1_n10_m0.010_vk0.30_fd1.0_Xlan1e-4.0.h5,0.01,0.3,1e-4.0
20.4102,knova_d1_n10_m0.010_vk0.30_fd1.0_Xlan1e-5.0.h5,0.01,0.3,1e-5.0
20.4698,knova_d1_n10_m0.010_vk0.30_fd1.0_Xlan1e-9.0.h5,0.01,0.3,1e-9.0
19.2729,knova_d1_n10_m0.020_vk0.03_fd1.0_Xlan1e-1.0.h5,0.02,0.03,1e-1.0
18.9858,knova_d1_n10_m0.020_vk0.03_fd1.0_Xlan1e-2.0.h5,0.02,0.03,1e-2.0
19.4191,knova_d1_n10_m0.020_vk0.03_fd1.0_Xlan1e-3.0.h5,0.02,0.03,1e-3.0
19.9091,knova_d1_n10_m0.020_vk0.03_fd1.0_Xlan1e-4.0.h5,0.02,0.03,1e-4.0
20.2441,knova_d1_n10_m0.020_vk0.03_fd1.0_Xlan1e-5.0.h5,0.02,0.03,1e-5.0
20.2121,knova_d1_n10_m0.020_vk0.03_fd1.0_Xlan1e-9.0.h5,0.02,0.03,1e-9.0
19.1568,knova_d1_n10_m0.020_vk0.05_fd1.0_Xlan1e-1.0.h5,0.02,0.05,1e-1.0
18.7544,knova_d1_n10_m0.020_vk0.05_fd1.0_Xlan1e-2.0.h5,0.02,0.05,1e-2.0
19.0735,knova_d1_n10_m0.020_vk0.05_fd1.0_Xlan1e-3.0.h5,0.02,0.05,1e-3.0
19.4804,knova_d1_n10_m0.020_vk0.05_fd1.0_Xlan1e-4.0.h5,0.02,0.05,1e-4.0
19.8855,knova_d1_n10_m0.020_vk0.05_fd1.0_Xlan1e-5.0.h5,0.02,0.05,1e-5.0
19.9591,knova_d1_n10_m0.020_vk0.05_fd1.0_Xlan1e-9.0.h5,0.02,0.05,1e-9.0
18.6245,knova_d1_n10_m0.020_vk0.10_fd1.0_Xlan1e-1.0.h5,0.02,0.1,1e-1.0
18.2459,knova_d1_n10_m0.020_vk0.10_fd1.0_Xlan1e-2.0.h5,0.02,0.1,1e-2.0
18.5183,knova_d1_n10_m0.020_vk0.10_fd1.0_Xlan1e-3.0.h5,0.02,0.1,1e-3.0
19.0404,knova_d1_n10_m0.020_vk0.10_fd1.0_Xlan1e-4.0.h5,0.02,0.1,1e-4.0
19.4973,knova_d1_n10_m0.020_vk0.10_fd1.0_Xlan1e-5.0.h5,0.02,0.1,1e-5.0
19.5659,knova_d1_n10_m0.020_vk0.10_fd1.0_Xlan1e-9.0.h5,0.02,0.1,1e-9.0
18.057,knova_d1_n10_m0.020_vk0.20_fd1.0_Xlan1e-1.0.h5,0.02,0.2,1e-1.0
17.8713,knova_d1_n10_m0.020_vk0.20_fd1.0_Xlan1e-2.0.h5,0.02,0.2,1e-2.0
18.1163,knova_d1_n10_m0.020_vk0.20_fd1.0_Xlan1e-3.0.h5,0.02,0.2,1e-3.0
19.0941,knova_d1_n10_m0.020_vk0.20_fd1.0_Xlan1e-4.0.h5,0.02,0.2,1e-4.0
19.7014,knova_d1_n10_m0.020_vk0.20_fd1.0_Xlan1e-5.0.h5,0.02,0.2,1e-5.0
19.7951,knova_d1_n10_m0.020_vk0.20_fd1.0_Xlan1e-9.0.h5,0.02,0.2,1e-9.0
17.6925,knova_d1_n10_m0.020_vk0.30_fd1.0_Xlan1e-1.0.h5,0.02,0.3,1e-1.0
17.6607,knova_d1_n10_m0.020_vk0.30_fd1.0_Xlan1e-2.0.h5,0.02,0.3,1e-2.0
