u,g,r,i,z,y,time
28.2957,27.1326,26.7257,26.5512,26.5577,26.8521,0.15
28.1408,26.7939,26.2733,26.1313,26.1330,26.4304,0.25
28.3047,26.6912,25.9951,25.8799,25.8254,26.1654,0.35
28.5346,26.6957,25.8118,25.7150,25.6420,25.9764,0.45
28.8138,26.7800,25.6979,25.5622,25.5051,25.8435,0.55
28.9662,26.8846,25.6556,25.4829,25.4127,25.7374,0.65
29.2449,27.0593,25.6420,25.3886,25.3377,25.6495,0.75
29.4531,27.2200,25.6866,25.3131,25.2718,25.5689,0.85
29.6018,27.3561,25.7541,25.2729,25.2494,25.5163,0.95
29.8455,27.4996,25.8497,25.2613,25.2126,25.4774,1.05
30.0398,27.6476,25.9699,25.2484,25.2102,25.4424,1.15
30.2411,27.7909,26.0789,25.2548,25.2040,25.4145,1.25
30.3906,27.8935,26.2357,25.2711,25.1950,25.3953,1.35
30.4972,27.9696,26.3896,25.3170,25.2109,25.4135,1.45
30.4976,28.0343,26.5794,25.3587,25.2043,25.3949,1.55
30.6728,28.1983,26.8553,25.4025,25.1871,25.3765,1.65
30.7239,28.1885,26.9857,25.4673,25.2235,25.4288,1.75
31.0073,28.3873,27.3270,25.5330,25.2176,25.4017,1.85
31.1749,28.4440,27.4467,25.6161,25.2865,25.4460,1.95
31.3720,28.6862,27.7657,25.7402,25.3196,25.4796,2.05
31.5410,28.7481,27.8330,25.8279,25.3749,25.5037,2.15
32.1146,29.0861,28.1220,26.0046,25.4235,25.5797,2.25
32.2584,29.0837,28.1200,26.1169,25.4963,25.6293,2.35
32.5968,29.3829,28.4248,26.2965,25.5876,25.7172,2.45
33.0141,29.5113,28.5061,26.5217,25.7163,25.8689,2.55
33.1553,29.6376,28.6249,26.6138,25.7668,25.8569,2.65
33.7415,30.0313,28.8968,26.8855,25.9261,26.0693,2.75
33.9744,30.1195,29.0013,27.0398,26.0852,26.1771,2.85
34.2371,30.3678,29.2003,27.1460,26.1108,26.1983,2.95
34.7493,30.6827,29.3659,27.3479,26.3062,26.3611,3.05
34.8465,30.7860,29.5155,27.5142,26.4936,26.4766,3.15
35.7231,31.0024,29.6790,27.5805,26.5664,26.5222,3.25
35.3212,31.2997,29.9944,27.7692,26.6917,26.6563,3.35
35.6145,31.5276,30.1159,27.8938,26.8740,26.7584,3.45
37.6230,31.7207,30.2067,27.9879,26.9537,26.8133,3.55
36.0443,31.9015,30.5387,28.1395,27.0529,26.9083,3.65
36.5245,32.2823,30.7294,28.3112,27.2048,27.0140,3.75
37.5067,32.2663,30.6857,28.4254,27.3266,27.0980,3.85
36.8864,32.6268,30.9402,28.4805,27.4080,27.1259,3.95
42.2666,32.8124,31.2034,28.6902,27.4568,27.2175,4.05
36.8355,32.9436,31.3163,28.7789,27.5783,27.3196,4.15
-9999.0000,33.3721,31.2417,28.8801,27.7074,27.3711,4.25
37.7391,33.2344,31.3891,28.9111,27.7478,27.4105,4.35
-9999.0000,33.6104,31.6873,29.0817,27.7819,27.4937,4.45
-9999.0000,33.8381,31.8823,29.1556,27.8968,27.5819,4.55
37.4970,33.8390,31.8971,29.2590,28.0264,27.6808,4.65
-9999.0000,33.8760,31.9173,29.2861,28.0646,27.6736,4.75
38.2551,33.7987,31.9817,29.3493,28.0773,27.7073,4.85
-9999.0000,34.3906,32.0570,29.3941,28.1555,27.7415,4.95
36.7788,34.4563,32.3055,29.6149,28.2687,27.8530,5.05
-9999.0000,34.3305,32.3170,29.6547,28.2925,27.8526,5.15
-9999.0000,34.4742,32.4363,29.7012,28.3342,27.9082,5.25
-9999.0000,34.6904,32.8734,29.6636,28.3630,27.9034,5.35
-9999.0000,34.9441,32.8013,29.8253,28.3767,27.9883,5.45
-9999.0000,34.7576,32.6651,29.9355,28.5041,28.0154,5.55
-9999.0000,35.0337,32.6485,29.9375,28.5814,28.0666,5.65
-9999.0000,34.6538,32.6340,29.9601,28.6047,28.1164,5.75
-9999.0000,35.0200,32.8236,30.0238,28.5889,28.0902,5.85
-9999.0000,35.0991,32.9845,30.0247,28.6292,28.1526,5.95
-9999.0000,35.9947,33.0534,30.0826,28.6835,28.2172,6.05
-9999.0000,35.6354,33.0259,30.1765,28.8507,28.2915,6.15
-9999.0000,35.9271,32.8338,30.3030,28.8630,28.3061,6.25
-9999.0000,35.5497,33.0910,30.2589,28.9505,28.3887,6.35
-9999.0000,34.8092,33.0507,30.4369,28.8764,28.3398,6.45
-9999.0000,35.8747,33.4641,30.2793,28.9189,28.3318,6.55
-9999.0000,36.6059,33.3027,30.4840,28.9485,28.4154,6.65
-9999.0000,36.1325,33.3542,30.5954,29.0711,28.5073,6.75
-9999.0000,36.1890,33.3121,30.5861,29.1199,28.4910,6.85
-9999.0000,36.3240,33.2536,30.6724,29.1499,28.5355,6.95
-9999.0000,36.1828,33.4688,30.5948,29.1298,28.5511,7.05
-9999.0000,35.9203,33.5418,30.5928,29.1649,28.6048,7.15
-9999.0000,36.4496,33.3865,30.6224,29.1797,28.5655,7.25
-9999.0000,35.9290,33.6042,30.7665,29.2664,28.5838,7.35
-9999.0000,37.3135,33.7830,30.7998,29.3274,28.6998,7.45
-9999.0000,37.2795,33.7496,30.9211,29.3972,28.7870,7.55
-9999.0000,36.8885,33.5555,30.8881,29.4536,28.7858,7.65
-9999.0000,36.5990,33.7867,30.9480,29.4976,28.8302,7.75
-9999.0000,36.0599,33.6379,31.0322,29.4306,28.8038,7.85
-9999.0000,37.1849,33.9231,31.0612,29.5086,28.8527,7.95
-9999.0000,37.6387,33.9931,30.9894,29.4980,28.8025,8.05
-9999.0000,37.6800,33.9378,31.1193,29.6095,28.8959,8.15
-9999.0000,42.6737,33.9423,31.1796,29.6199,28.9038,8.25
-9999.0000,37.0480,34.0058,31.1395,29.6484,28.9608,8.35
-9999.0000,38.1375,34.4034,31.2789,29.6618,29.0258,8.45
-9999.0000,37.4318,34.1825,31.2871,29.7637,29.0065,8.55
-9999.0000,37.8343,34.4817,31.2938,29.7740,29.0382,8.65
-9999.0000,36.6969,34.1345,31.3211,29.7269,29.0390,8.75
-9999.0000,37.4455,34.2126,31.3330,29.7632,29.0428,8.85
-9999.0000,36.2278,34.5419,31.2605,29.8425,29.1596,8.95
