Ks,time
19.6274,0.15
19.5923,0.25
19.6249,0.35
19.7768,0.45
19.8471,0.55
19.7769,0.65
19.7611,0.75
19.5637,0.85
19.3909,0.95
19.2720,1.05
19.1091,1.15
19.0020,1.25
18.8485,1.35
18.7796,1.45
18.6393,1.55
18.5576,1.65
18.4739,1.75
18.3999,1.85
18.3524,1.95
18.3458,2.05
18.3271,2.15
18.3123,2.25
18.2997,2.35
18.3049,2.45
18.3274,2.55
18.3188,2.65
18.3379,2.75
18.3653,2.85
18.3993,2.95
18.4390,3.05
18.4412,3.15
18.4782,3.25
18.5150,3.35
18.5939,3.45
18.6153,3.55
18.6982,3.65
18.7112,3.75
18.7860,3.85
18.8425,3.95
18.8914,4.05
18.8974,4.15
18.9534,4.25
18.9567,4.35
19.0361,4.45
19.1127,4.55
19.2058,4.65
19.1339,4.75
19.1608,4.85
19.2630,4.95
19.2222,5.05
19.3216,5.15
19.2934,5.25
19.3309,5.35
19.3815,5.45
19.4159,5.55
19.4298,5.65
19.4779,5.75
19.4772,5.85
19.5381,5.95
19.4937,6.05
19.5582,6.15
19.5289,6.25
19.6017,6.35
19.6232,6.45
19.6568,6.55
19.6369,6.65
19.6965,6.75
19.7204,6.85
19.7592,6.95
19.7779,7.05
19.7991,7.15
19.7494,7.25
19.7980,7.35
19.8072,7.45
19.8526,7.55
19.8276,7.65
19.9321,7.75
19.9097,7.85
19.9545,7.95
19.9442,8.05
19.9498,8.15
19.9689,8.25
19.9888,8.35
19.9871,8.45
20.0158,8.55
20.0705,8.65
20.1096,8.75
20.0723,8.85
20.1250,8.95
