u,g,r,i,z,y,time
25.3111,24.2370,24.2216,24.5787,24.8816,25.1749,0.05
25.2606,23.7853,23.6274,24.0251,24.3926,24.7024,0.15
25.7469,23.7960,23.3533,23.7337,24.0989,24.4297,0.25
26.2094,24.0023,23.1833,23.5259,23.8987,24.2717,0.35
26.5765,24.3538,23.0895,23.3936,23.7688,24.1437,0.45
26.9405,24.7858,23.0822,23.3266,23.7050,24.0742,0.55
27.2716,25.1586,23.1720,23.3041,23.6989,24.0449,0.65
27.6147,25.4109,23.3076,23.2908,23.6868,24.0288,0.75
27.8824,25.5972,23.4770,23.2749,23.6868,23.9935,0.85
28.1013,25.7464,23.6511,23.2537,23.6538,23.9211,0.95
28.3009,25.8787,23.8019,23.2411,23.6013,23.8440,1.05
28.5254,26.0317,23.9533,23.2576,23.5205,23.7400,1.15
28.7343,26.1538,24.0924,23.2863,23.4788,23.6622,1.25
28.8589,26.2837,24.2003,23.3340,23.4423,23.6085,1.35
29.0400,26.3909,24.2992,23.4030,23.4180,23.5784,1.45
29.1298,26.5016,24.4067,23.4711,23.4150,23.5638,1.55
29.2761,26.5960,24.4923,23.5413,23.4481,23.5784,1.65
29.4214,26.6815,24.5776,23.6257,23.4962,23.6034,1.75
29.4459,26.7791,24.6583,23.7059,23.5308,23.6429,1.85
29.5841,26.8735,24.7179,23.7820,23.6049,23.6854,1.95
29.5965,26.9055,24.7941,23.8606,23.6765,23.7444,2.05
29.7383,26.9704,24.8641,23.9383,23.7592,23.7875,2.15
29.8559,27.0586,24.9227,23.9909,23.8371,23.8417,2.25
29.8112,27.0911,24.9838,24.0718,23.9176,23.9101,2.35
29.9075,27.1426,25.0411,24.1206,23.9934,23.9759,2.45
29.8701,27.2071,25.1063,24.1842,24.0764,24.0571,2.55
29.9963,27.2207,25.1448,24.2544,24.1363,24.1149,2.65
30.0994,27.2734,25.2035,24.3034,24.2128,24.1926,2.75
30.1096,27.3151,25.2472,24.3572,24.2682,24.2596,2.85
30.0074,27.3418,25.2869,24.4046,24.3329,24.3413,2.95
30.1379,27.3683,25.3306,24.4369,24.3926,24.3874,3.05
30.1676,27.4217,25.3620,24.4724,24.4367,24.4613,3.15
30.2626,27.4657,25.4033,24.5291,24.4828,24.5102,3.25
30.2653,27.4729,25.4512,24.5655,24.5446,24.5778,3.35
30.2751,27.4901,25.4807,24.6092,24.5882,24.6100,3.45
30.2258,27.5345,25.5243,24.6578,24.6588,24.6810,3.55
30.3433,27.5598,25.5694,24.6831,24.6662,24.7013,3.65
30.3839,27.5843,25.5889,24.7058,24.7339,24.7435,3.75
30.2231,27.6012,25.6091,24.7492,24.7738,24.7971,3.85
30.4411,27.6279,25.6551,24.7760,24.8070,24.8319,3.95
30.4815,27.6399,25.6871,24.8239,24.8503,24.8879,4.05
30.3718,27.7247,25.7285,24.8467,24.8554,24.9134,4.15
30.5360,27.7490,25.7792,24.8935,24.9018,24.9560,4.25
30.5280,27.7633,25.8046,24.9382,24.9443,25.0299,4.35
30.4427,27.7944,25.8252,24.9538,24.9796,25.0654,4.45
30.5727,27.8150,25.8641,24.9675,25.0199,25.1065,4.55
30.5389,27.8359,25.8934,25.0201,25.0425,25.1630,4.65
30.6858,27.8478,25.8948,25.0362,25.0742,25.2036,4.75
30.5780,27.8986,25.9452,25.0683,25.1098,25.2731,4.85
30.6673,27.9537,25.9671,25.0932,25.1685,25.2801,4.95
30.6405,27.9604,26.0021,25.1366,25.1947,25.3402,5.05
30.7783,27.9572,26.0425,25.1639,25.2041,25.3841,5.15
30.8806,27.9839,26.0720,25.1799,25.2345,25.4243,5.25
30.8270,28.0473,26.0974,25.2196,25.3042,25.4656,5.35
30.7959,28.0448,26.1220,25.2634,25.3207,25.5188,5.45
30.7501,28.1092,26.1578,25.2630,25.3621,25.5505,5.55
30.8882,28.0578,26.1775,25.3015,25.3852,25.5746,5.65
30.9839,28.1583,26.2264,25.3202,25.3999,25.6206,5.75
