u,g,r,i,z,y,time
-9999.0000,-9999.0000,35.9303,33.4505,31.9083,30.8919,0.05
27.8665,27.3700,27.2156,27.1272,27.2791,27.1058,0.15
28.2688,27.6787,27.1606,27.2182,26.9762,27.0177,0.25
28.6714,28.0310,27.3470,27.0022,26.8919,26.7235,0.35
29.1487,28.0937,27.2567,26.7992,26.3287,26.4358,0.45
28.7877,27.9573,27.1356,26.6128,26.3821,26.3123,0.55
29.3268,28.2232,27.5139,26.6279,26.3414,26.4043,0.65
29.5692,28.3610,27.5394,26.6772,26.3689,26.2425,0.75
29.5379,28.2119,27.6418,26.6876,26.2884,26.1282,0.85
29.6033,28.3133,27.7461,26.8583,26.2585,26.0990,0.95
29.8860,28.4803,27.7539,26.6320,26.2713,26.1122,1.05
30.0483,28.4744,27.7072,26.9080,26.2128,25.9132,1.15
30.1900,28.5083,27.6413,26.5545,26.1698,25.8470,1.25
30.0248,28.3500,27.5393,26.7374,26.1202,25.8325,1.35
30.4011,28.8462,27.8178,27.0135,26.3685,25.8859,1.45
30.1215,28.4991,27.6308,26.7660,26.1084,25.7346,1.55
30.3094,28.5590,27.5536,26.6491,25.9955,25.6673,1.65
30.9277,29.0466,27.8140,26.7731,26.0160,25.8307,1.75
30.6287,28.8347,27.6155,26.5491,25.9292,25.4934,1.85
31.1585,28.8256,27.7376,26.6785,26.1284,25.7035,1.95
30.8293,28.7236,27.3547,26.5731,25.8287,25.5937,2.05
31.5602,29.0250,27.8365,26.8361,26.1668,25.6905,2.15
31.1557,28.7834,27.6444,26.4502,25.8348,25.3725,2.25
30.9758,29.0636,28.0900,26.8023,26.0304,25.5999,2.35
31.3318,28.9246,27.7491,26.6199,25.8751,25.3436,2.45
31.6277,29.1944,27.8914,26.7607,26.0044,25.3737,2.55
31.8068,29.5662,28.2819,26.8228,26.0762,25.4418,2.65
31.4139,29.1564,27.8271,26.6094,25.6781,25.2826,2.75
31.8088,29.8082,28.3682,26.8979,26.1748,25.5990,2.85
32.0099,29.5245,28.1859,26.8879,25.9129,25.3635,2.95
32.6848,29.7469,28.2700,26.6713,25.7847,25.2267,3.05
31.8805,30.2028,28.5077,27.2449,26.1521,25.6085,3.15
33.5485,30.2634,28.3379,26.8001,25.9987,25.2510,3.25
31.9396,29.5261,28.2297,26.8012,25.7362,25.1074,3.35
32.8325,30.6482,28.6983,27.2371,26.2251,25.6452,3.45
39.2303,30.5708,28.7367,27.1146,26.1402,25.5464,3.55
33.9829,30.1575,28.4327,26.7635,25.7563,25.1466,3.65
34.8052,30.5008,28.5520,26.8526,25.9515,25.3431,3.75
34.1961,30.6772,28.8272,27.2776,26.2947,25.6736,3.85
-9999.0000,30.6238,28.7207,27.1030,26.0846,25.4860,3.95
39.1289,30.7807,28.3246,26.8123,25.7702,25.1454,4.05
33.2351,30.5527,28.6067,27.1533,26.0515,25.3734,4.15
-9999.0000,31.4572,29.2290,27.4650,26.4173,25.6676,4.25
-9999.0000,31.5037,28.7622,27.1495,26.1275,25.4321,4.35
35.1257,31.2983,28.4719,26.8909,25.7354,25.1530,4.45
35.0015,31.6551,28.7741,27.0718,25.8671,25.3484,4.55
-9999.0000,31.7031,29.1274,27.6718,26.4616,25.7100,4.65
34.0225,31.5860,29.3834,27.6918,26.3625,25.6485,4.75
-9999.0000,31.5938,29.0314,27.2369,26.0305,25.3801,4.85
-9999.0000,30.8575,28.6447,26.9025,25.9093,25.1623,4.95
-9999.0000,31.7149,29.0434,27.3437,26.3204,25.5588,5.05
33.3650,31.7160,29.5403,27.7187,26.6381,25.7495,5.15
35.1161,32.2301,29.7634,27.4991,26.4469,25.7141,5.25
-9999.0000,32.3193,29.3343,27.4933,26.2674,25.5255,5.35
34.5344,31.4488,29.0710,27.1208,25.9436,25.2173,5.45
-9999.0000,31.9117,29.3752,27.4591,26.2476,25.6160,5.55
-9999.0000,33.8587,29.8015,27.8499,26.6432,25.9736,5.65
-9999.0000,32.0704,29.7668,27.7229,26.6099,25.8723,5.75
33.3527,33.0612,29.6516,27.6932,26.3928,25.6414,5.85
-9999.0000,33.1340,29.4068,27.2921,26.2955,25.4854,5.95
-9999.0000,31.8055,29.1337,27.5089,26.2155,25.4529,6.05
36.2311,32.1615,29.8178,27.8267,26.4178,25.8379,6.15
-9999.0000,32.1739,30.0184,27.8135,26.7453,26.0902,6.25
-9999.0000,32.7014,29.8321,28.1274,26.7535,25.8830,6.35
-9999.0000,33.6151,29.8924,27.8586,26.6096,25.7801,6.45
34.4914,32.2106,29.6352,27.8070,26.5019,25.6293,6.55
-9999.0000,32.9051,29.8669,27.5095,26.2646,25.5228,6.65
-9999.0000,32.8193,29.6330,27.9244,26.5920,25.8389,6.75
-9999.0000,34.3683,30.2284,28.1915,26.8803,26.1071,6.85
-9999.0000,33.3822,30.0470,28.0704,26.9741,26.0902,6.95
-9999.0000,34.9099,30.1753,27.9976,26.8588,25.9565,7.05
-9999.0000,33.5483,30.3170,28.0293,26.7852,25.7991,7.15
-9999.0000,32.8019,29.9945,27.7548,26.5824,25.7858,7.25
-9999.0000,35.2662,29.8858,27.8392,26.5799,25.6647,7.35
-9999.0000,32.7531,30.6290,28.2253,26.8491,26.0022,7.45
-9999.0000,33.4250,30.5070,28.4989,27.0074,26.2455,7.55
-9999.0000,33.2173,30.7437,28.3808,27.1391,26.2045,7.65
-9999.0000,35.3542,30.6854,28.3304,26.8522,26.1641,7.75
-9999.0000,33.5382,30.5850,28.2869,26.8272,26.0137,7.85
-9999.0000,34.0650,30.3907,28.1477,26.8778,25.9103,7.95
-9999.0000,32.3669,30.5243,28.0474,26.7452,25.8513,8.05
-9999.0000,34.0398,30.6929,28.3172,26.9917,26.0283,8.15
-9999.0000,34.2016,30.7500,28.3120,27.0727,26.2404,8.25
-9999.0000,33.7691,30.6916,28.6095,27.1606,26.3849,8.35
-9999.0000,34.2109,30.8615,28.5879,27.2296,26.3678,8.45
-9999.0000,-9999.0000,30.8745,28.5269,27.2761,26.2714,8.55
-9999.0000,33.9538,30.6406,28.5774,27.1641,26.2066,8.65
-9999.0000,33.2291,31.3742,28.4954,27.0467,26.1742,8.75
-9999.0000,34.9164,30.7370,28.1750,26.9637,26.0819,8.85
-9999.0000,34.7346,30.4816,28.3485,27.2952,26.1542,8.95
