u,g,r,i,z,y,time
29.4115,28.9929,28.4865,28.2745,28.5132,28.2908,0.05
29.9868,29.0253,28.1232,27.9565,27.7386,27.6821,0.15
30.3424,29.0412,28.2966,27.6062,27.4568,27.3950,0.25
30.5669,29.2480,28.4550,27.5695,27.2864,27.2364,0.35
30.8168,29.3508,28.5778,27.5076,27.1184,26.8864,0.45
30.7438,29.4832,28.5423,27.4372,27.0961,26.7638,0.55
31.2189,29.6083,28.6301,27.5799,27.0905,26.7039,0.65
31.3354,29.5566,28.5953,27.4586,26.9243,26.6300,0.75
31.4692,29.5689,28.6415,27.5105,26.9467,26.5588,0.85
31.7260,29.7538,28.5923,27.5433,26.8750,26.4984,0.95
31.8996,30.0028,28.5959,27.5552,26.8642,26.4197,1.05
32.2042,29.9814,28.7656,27.5550,26.8693,26.3983,1.15
32.4879,30.0245,28.8192,27.5476,26.7719,26.3189,1.25
32.8491,30.2676,28.8556,27.4903,26.7201,26.2790,1.35
33.3240,30.5296,29.0037,27.6199,26.8249,26.3140,1.45
33.3092,30.7733,29.0934,27.6456,26.8601,26.2939,1.55
33.1070,30.7711,28.9954,27.4737,26.7010,26.1618,1.65
34.4832,31.1317,29.3047,27.8572,26.9564,26.4111,1.75
33.5541,31.2280,29.1762,27.5280,26.7094,26.1170,1.85
34.1067,31.4757,29.4560,27.8651,26.9720,26.3884,1.95
34.3918,31.4309,29.2884,27.6094,26.7738,26.1712,2.05
35.1294,31.9669,29.6220,27.9670,27.0096,26.4749,2.15
35.0685,31.5237,29.4295,27.6772,26.7269,26.1461,2.25
36.8688,31.9919,29.8200,28.1493,27.1776,26.5310,2.35
35.2616,31.8660,29.6697,27.8194,26.8577,26.2485,2.45
36.0681,32.0264,29.8089,28.0277,27.1441,26.4446,2.55
36.8789,32.6898,29.9938,28.2017,27.2715,26.5446,2.65
34.8260,31.9177,29.7549,27.8824,26.9475,26.2956,2.75
-9999.0000,32.4299,30.1226,28.3751,27.4234,26.6889,2.85
34.9231,32.6241,30.1844,28.2433,27.2913,26.5156,2.95
36.1130,32.7162,29.9743,28.1163,27.0599,26.3748,3.05
-9999.0000,33.1295,30.4055,28.6804,27.4958,26.8105,3.15
38.4105,32.8336,30.4198,28.4643,27.3762,26.6480,3.25
-9999.0000,32.7666,30.2612,28.2955,27.1805,26.4991,3.35
-9999.0000,33.4365,30.5969,28.6674,27.6285,26.7943,3.45
-9999.0000,33.5743,30.7465,28.7651,27.6750,26.8639,3.55
40.0736,33.3488,30.6793,28.5377,27.3815,26.6513,3.65
-9999.0000,33.2294,30.7359,28.6193,27.4604,26.7180,3.75
-9999.0000,34.0786,30.9458,29.0526,27.9143,27.0226,3.85
39.9854,34.5177,31.0896,29.0501,27.7378,26.9306,3.95
37.2828,33.7741,31.0213,28.8023,27.6151,26.7659,4.05
40.3459,34.5377,31.0225,28.9813,27.7881,26.8891,4.15
-9999.0000,34.4089,31.2856,29.3060,28.0711,27.1002,4.25
-9999.0000,34.7293,31.3697,29.1711,27.9983,27.1161,4.35
38.4351,34.8010,31.2747,29.1081,27.8470,26.9190,4.45
-9999.0000,34.4785,31.3945,29.2961,27.8985,26.9501,4.55
-9999.0000,34.4609,31.6006,29.6024,28.1072,27.2663,4.65
-9999.0000,34.3805,31.8808,29.6033,28.3180,27.2638,4.75
-9999.0000,34.5921,31.9043,29.5392,28.1793,27.1732,4.85
38.8433,35.7302,31.6977,29.4637,28.1429,27.0646,4.95
-9999.0000,35.4687,31.9311,29.6599,28.3180,27.2074,5.05
-9999.0000,36.5933,32.1205,29.8245,28.4688,27.3943,5.15
39.1585,35.6272,32.1539,29.7683,28.5171,27.4672,5.25
-9999.0000,37.5745,32.1595,29.8432,28.4833,27.3781,5.35
-9999.0000,35.8134,32.2363,29.8413,28.4198,27.3067,5.45
-9999.0000,35.3548,32.2851,30.1572,28.5249,27.3560,5.55
-9999.0000,35.6881,32.4670,30.1776,28.6917,27.5916,5.65
-9999.0000,36.5189,32.7948,30.4082,28.8896,27.6976,5.75
-9999.0000,35.4828,32.4342,30.3490,28.7216,27.6466,5.85
-9999.0000,36.6370,32.9961,30.3178,28.7803,27.5912,5.95
-9999.0000,35.2408,33.1045,30.3523,28.7431,27.5360,6.05
-9999.0000,38.9539,32.8115,30.4549,28.9472,27.6211,6.15
-9999.0000,-9999.0000,33.0114,30.7175,29.1049,27.8608,6.25
-9999.0000,42.8388,33.8237,30.9334,29.1803,27.8990,6.35
-9999.0000,35.7880,34.0607,30.9310,29.1968,27.9692,6.45
-9999.0000,36.2819,33.7391,30.7762,29.1865,27.8479,6.55
-9999.0000,-9999.0000,33.1985,30.7421,29.1739,27.8598,6.65
-9999.0000,37.1075,33.2987,31.0020,29.3123,27.8325,6.75
-9999.0000,-9999.0000,34.2983,31.1779,29.3660,28.0214,6.85
-9999.0000,-9999.0000,34.2840,31.3053,29.4654,28.1352,6.95
-9999.0000,41.7570,34.5826,31.1858,29.7329,28.2775,7.05
-9999.0000,-9999.0000,34.1425,31.4711,29.6948,28.1730,7.15
-9999.0000,-9999.0000,33.7920,31.3305,29.5175,28.1529,7.25
-9999.0000,-9999.0000,33.7138,31.4941,29.4610,28.1439,7.35
-9999.0000,38.8398,34.4516,31.3730,29.7406,28.1200,7.45
-9999.0000,-9999.0000,34.4201,31.5446,29.7550,28.2816,7.55
-9999.0000,37.3190,34.9312,31.5634,29.9635,28.4199,7.65
-9999.0000,-9999.0000,34.4767,31.8399,30.2080,28.5416,7.75
-9999.0000,-9999.0000,34.9045,31.4615,30.0077,28.5158,7.85
-9999.0000,-9999.0000,34.1117,31.9805,30.1989,28.5135,7.95
-9999.0000,39.2511,35.6197,31.9575,30.0897,28.4618,8.05
-9999.0000,-9999.0000,34.7545,31.7243,29.9545,28.4096,8.15
-9999.0000,-9999.0000,36.0185,31.6655,30.1379,28.5209,8.25
-9999.0000,38.2581,35.0786,32.0184,30.0028,28.4950,8.35
-9999.0000,-9999.0000,34.4861,32.1284,30.2193,28.7845,8.45
-9999.0000,-9999.0000,35.0689,32.2803,30.2284,28.6895,8.55
-9999.0000,-9999.0000,35.9165,31.9956,30.3969,28.7232,8.65
-9999.0000,-9999.0000,35.6369,32.1105,30.3329,28.7746,8.75
-9999.0000,-9999.0000,34.8542,32.0621,30.2773,28.6633,8.85
-9999.0000,-9999.0000,36.0885,32.1754,30.2492,28.5898,8.95
