u,g,r,i,z,y,time
21.4463,19.8614,19.8693,20.1971,20.4569,20.7210,0.15
21.8297,19.7903,19.6067,19.8997,20.1638,20.4533,0.25
22.2093,19.8332,19.4563,19.6862,19.9620,20.2551,0.35
22.4682,19.9206,19.3721,19.5680,19.8213,20.1152,0.45
22.6594,20.0412,19.3113,19.4733,19.7018,19.9840,0.55
22.8774,20.1697,19.2898,19.3910,19.5649,19.8783,0.65
22.9789,20.3177,19.3020,19.3423,19.5019,19.7810,0.75
23.1234,20.4888,19.3282,19.3213,19.4073,19.7099,0.85
23.2581,20.6697,19.3682,19.3061,19.3773,19.6400,0.95
23.3750,20.8174,19.4086,19.3178,19.3329,19.6019,1.05
23.4696,20.9628,19.4556,19.3315,19.3089,19.5807,1.15
23.5216,21.1101,19.5288,19.3455,19.2939,19.5330,1.25
23.6465,21.2350,19.5999,19.3746,19.2714,19.5151,1.35
23.7785,21.3487,19.6820,19.4089,19.2783,19.4825,1.45
23.8914,21.4660,19.7726,19.4369,19.2645,19.4629,1.55
23.9810,21.5670,19.8636,19.4726,19.2771,19.4225,1.65
24.0286,21.6670,19.9744,19.5181,19.2935,19.4222,1.75
24.1240,21.7779,20.0773,19.5601,19.3123,19.4135,1.85
24.2369,21.8687,20.1699,19.6294,19.3481,19.4066,1.95
24.3317,21.9772,20.2770,19.6976,19.3730,19.4265,2.05
24.4492,22.0551,20.3891,19.7576,19.4014,19.4305,2.15
24.5310,22.1480,20.4781,19.8363,19.4313,19.4417,2.25
24.6569,22.2631,20.5577,19.9150,19.4799,19.4651,2.35
24.7316,22.3530,20.6463,19.9882,19.5214,19.4858,2.45
24.8970,22.4416,20.7293,20.0472,19.5360,19.4950,2.55
24.9419,22.5430,20.7793,20.1071,19.5854,19.5220,2.65
25.0058,22.6173,20.8585,20.1697,19.6039,19.5450,2.75
25.1783,22.7066,20.9382,20.2212,19.6481,19.5786,2.85
25.1933,22.7882,21.0008,20.2797,19.6981,19.5889,2.95
25.3676,22.8705,21.0529,20.3345,19.7397,19.6235,3.05
25.3842,22.9571,21.0942,20.3751,19.7769,19.6644,3.15
25.5884,22.9907,21.1765,20.4343,19.8155,19.7069,3.25
25.4707,23.0634,21.2245,20.4893,19.8567,19.7423,3.35
25.7883,23.1574,21.2771,20.5365,19.9067,19.7754,3.45
25.7911,23.2189,21.3423,20.5766,19.9495,19.8074,3.55
