LAMBDA0,LAMBDA,Llam
99467.73103483873,100452.46157208363,0.0
99071.44456539988,100052.25186659735,0.0
98676.7392540178,99653.63897263257,0.0
98283.60141998819,99256.60907404608,0.0
97892.0378304413,98861.16900496268,0.0
97502.0282179958,98467.29829735396,0.0
97113.5726522595,98074.99702151687,0.0
96726.66449211887,97684.25847059085,0.0
96341.30366968681,97295.0825760167,0.0
95957.47059711874,96907.44955603022,0.0
95575.17178826779,96521.36598897165,0.0
95194.3943385414,96136.81884249297,0.0
94815.131911702,95753.80171762785,0.0
94437.38448394672,95372.31459033779,0.0
94061.13947745123,94992.344758278,0.0
93686.39072525174,94613.88599343173,0.0
93313.13822141934,94236.9382898114,0.0
92941.37575982958,93861.4953798519,0.0
92571.09117787512,93487.54498053608,0.0
92202.28448245305,93115.08709882933,0.0
91834.94370987294,92744.10965260069,0.0
91469.06300372985,92374.60672746679,0.0
91104.64819840007,92006.58421556423,0.0
90741.68170352085,91640.0243523857,5.360393453994316e+33
90380.15780501612,91274.92136728577,0.0
90020.08220120851,90911.28101500048,0.0
89661.43207984549,90549.08025743595,3.086880774921996e+33
89304.21877659135,90188.33054247961,0.0
88948.42538704489,89829.01479837664,3.4803199997819697e+33
88594.04641569675,89471.12747521215,0.0
88241.08186889319,89114.66857939523,0.0
87889.5262010282,88759.63251041838,0.0
87539.36853262948,88406.00828110252,0.0
87190.60352746138,88053.79050238326,0.0
86843.23117632832,87702.97916497398,0.0
86497.24084311444,87353.56352746127,0.0
86152.63250830509,87005.5435701373,0.0
85809.39569293695,86658.90871029702,2.7195127189449896e+33
85467.52524218126,86313.65374207885,6.007540901951275e+33
85127.01603496495,85969.77349371111,3.01320361431475e+33
84787.86802557128,85627.26791902444,0.0
84450.06603380553,85286.1216875402,4.684864749492479e+33
84113.61508098154,84946.33987028326,0.0
83778.49528730648,84607.90239065081,0.0
83444.71657790107,84270.81927202229,0.0
83112.26905825248,83935.08052192918,0.0
82781.14301917999,83600.67633506987,3.2592848594270107e+33
82451.33846956296,83267.60672041164,0.0
82122.8458324445,82935.8620061857,0.0
81795.66509433174,82605.44217876562,0.0
81469.78680711311,82276.33769650353,2.2949292777921613e+33
81145.20169737538,81948.5391941794,0.0
80821.91898933671,81622.05598733114,7.249645695188195e+33
80499.92022112128,81296.86943131039,0.0
80179.19640949235,80972.97045394633,3.78346712309912e+33
79859.76557480734,80650.37725399794,0.0
79541.59179394277,80329.05355270281,4.273155326457486e+33
79224.69298663693,80009.01744720463,0.0
78909.06018355716,79690.25987937438,7.225859700677918e+33
78594.68457717283,79372.77195448685,2.0719350501009567e+33
78281.5575185603,79056.54493799404,0.0
77969.67904212706,78741.57886464412,0.0
77659.04060335191,78427.8651053251,2.3933084988857894e+33
77349.64220306647,78115.40366087682,1.6953430339725707e+33
77041.47539866387,77804.18600511065,3.3115284220882226e+34
76734.54015712123,77494.21210467673,5.331706308133009e+33
76428.81994121017,77185.46525862814,4.802532798054137e+33
